Years,Status,Manner,Start,Military,Age,Conflict,LogInc,Growth,Population,Land,Literacy,Region
5,0,0,1982,0,48,0,6.79,3.2,78.8,1973,88,3
6,0,1,1981,0,36,1,6.29,-1.8,3.3,130,88,3
5,0,1,1982,1,,0,6.82,2.9,2.2,77,90,3
2,0,0,1985,0,36,1,6.43,0.1,18.6,1285,80,3
4,0,0,1983,0,47,0,6.55,3.1,0.04,0.26,80,3
3,0,0,1984,0,53,0,5.86,1.8,0.12,0.39,82,3
6,0,0,1981,1,,1,7.22,4.5,0.39,163,65,3
1,0,0,1986,0,60,1,6.88,3.4,1.2,5,98,3
2,0,0,1985,0,49,0,6.86,2,3,176,94,3
4,0,0,1984,0,59,0,7.4,1.5,17.3,912,86,3
22,1,0,1960,0,36,1,5.52,2.7,11,475,65,1
0.5,1,1,1975,0,,0,5.19,-0.6,0.43,2.1,15,1
3,1,0,1960,0,43,1,5.83,3.5,2.1,342,80,1
14,1,0,1968,0,68,1,6.02,2.8,1,1.9,79,1
3,1,1,1976,1,39,1,5.35,3.2,112,923,30,1
20.5,1,0,1960,0,54,1,5.52,-0.5,7.3,196,10,1
2,1,0,1964,0,54,1,5.08,1.1,4,72,15,1
17,1,0,1968,0,63,1,5.08,1.1,4,72,15,1
3,1,0,1960,0,41,0,4.38,-0.8,8,638,60,1
3,1,0,1964,0,40,0,4.38,-0.8,8,638,60,1
12,1,0,1966,0,46,1,6.96,1.6,35,1221,65,1
24,1,0,1961,0,39,0,4.87,0.9,24,945,79,1
0.5,1,1,1960,1,30,1,4.25,-1.3,33,2345,40,1
0.5,1,1,1964,0,59,0,4.87,0.9,0.01,2.4,79,1
11,1,1,1968,1,56,1,6.75,7.6,18,435,55,0
5,1,0,1969,0,71,1,8.01,2.9,4.3,20,80,0
3,1,0,1974,0,52,1,8.01,2.9,4.3,20,80,0
0.5,1,0,1979,0,56,1,8.01,2.9,4.3,20,80,0
4,1,0,1979,0,66,1,8.01,2.9,4.3,20,80,0
0.5,1,0,1983,0,68,1,8.01,2.9,4.3,20,80,0
6,1,0,1964,0,53,1,6.85,-6,2.7,10,75,0
6,1,0,1970,0,60,1,6.85,-6,2.7,10,75,0
6,1,0,1976,0,52,1,6.85,-6,2.7,10,75,0
1,1,0,1965,0,57,1,4.87,1.3,24,2506,20,0
0.5,1,0,1966,0,30,1,4.87,1.3,24,2506,20,0
0.5,1,1,1962,1,,1,5.99,4.9,12,185,47,0
1,1,1,1960,1,65,0,6.4,3,54,781,70,0
2,1,1,1971,1,71,0,6.4,3,54,781,70,0
0.5,1,0,1974,0,48,0,6.4,3,54,781,70,0
0.5,1,0,1974,0,70,0,6.4,3,54,781,70,0
4,1,1,1979,1,61,0,6.4,3,54,781,70,0
0.5,1,1,1978,0,,0,5.63,6,2.4,333,25,0
2,1,0,1978,0,41,0,5.63,6,2.4,333,25,0
1,1,0,1976,0,56,1,4.79,4.4,1088,9596,75,2
17,1,0,1970,0,50,1,6.48,3.4,0.74,18,80,2
0.5,1,1,1987,1,38,1,6.48,3.4,0.74,18,80,2
4,1,0,1960,0,61,0,8.2,4.8,122,372,99,2
8,1,0,1964,0,63,0,8.2,4.8,122,372,99,2
2,1,0,1972,0,54,0,8.2,4.8,122,372,99,2
2,1,0,1974,0,67,0,8.2,4.8,122,372,99,2
2,1,0,1976,0,71,0,8.2,4.8,122,372,99,2
2,1,0,1980,0,69,0,8.2,4.8,122,372,99,2
5,1,0,1982,0,65,0,8.2,4.8,122,372,99,2
11,1,0,1966,0,49,1,4.79,1.5,816,3288,36,2
2,1,0,1977,0,81,1,4.79,1.5,816,3288,36,2
0.5,1,0,1979,0,77,1,4.79,1.5,816,3288,36,2
3,1,0,1979,0,29,1,5.81,1.3,0.01,0.7,90,2
0.5,1,0,1982,0,,1,5.81,1.3,0.01,0.7,90,2
0.5,1,1,1960,0,64,1,5.99,6.7,43,98,95,2
0.5,1,0,1960,0,63,1,5.99,6.7,43,98,95,2
0.5,1,0,1979,0,60,1,5.99,6.7,43,98,95,2
1,1,1,1960,0,48,1,4.09,3.1,4,236,85,2
1,1,1,1964,1,,1,4.09,3.1,4,236,85,2
5,1,0,1976,0,51,1,6.35,4.5,16,330,65,2
8,1,0,1968,0,45,0,5.81,1.3,0.01,0.02,99,2
2,1,0,1976,0,30,0,5.81,1.3,0.01,0.02,99,2
0.5,1,0,1978,0,55,0,5.81,1.3,0.01,0.02,99,2
0.5,1,0,1986,0,,0,5.81,1.3,0.01,0.02,99,2
5,1,0,1975,0,39,0,6.02,0.9,3.6,461,32,2
2,1,0,1980,0,40,0,6.02,0.9,3.6,461,32,2
2,1,0,1969,1,52,1,4.79,2.5,107,803,26,2
4,1,0,1961,0,51,1,5.63,2.9,63,300,88,2
20.5,1,0,1965,0,48,1,5.63,2.9,63,300,88,2
3,1,0,1978,0,35,1,5.81,1.3,0.3,28,60,2
3,1,0,1981,0,38,1,5.81,1.3,0.3,28,60,2
5,1,0,1960,0,54,1,4.79,2.9,17,66,87,2
10.5,1,0,1963,1,52,1,5.6,4.3,54,514,82,2
1,1,0,1973,0,66,1,5.6,4.3,54,514,82,2
0.5,1,0,1975,0,70,1,5.6,4.3,54,514,82,2
1,1,0,1975,0,64,1,5.6,4.3,54,514,82,2
3,1,0,1978,0,36,0,5.81,1.3,0.08,0.03,45,2
6,1,0,1981,0,,0,5.81,1.3,0.08,0.03,45,2
0.5,1,0,1986,0,79,1,4.25,-6,65,330,78,2
8,1,0,1962,0,41,0,5.86,1.3,0.18,2.9,90,2
3,1,0,1970,0,48,0,5.86,1.3,0.18,2.9,90,2
6,1,0,1976,0,58,0,5.86,1.3,0.18,2.9,90,2
0.5,1,0,1982,0,,0,5.86,1.3,0.18,2.9,90,2
3,1,0,1982,0,58,0,5.86,1.3,0.18,2.9,90,2
1,1,0,1962,0,52,0,7.4,0.5,30.5,2767,94,3
2,1,1,1971,1,53,0,7.4,0.5,30.5,2767,94,3
0.5,1,0,1973,0,57,0,7.4,0.5,30.5,2767,94,3
4,1,1,1976,1,51,0,7.4,0.5,30.5,2767,94,3
1,1,0,1980,1,55,0,7.4,0.5,30.5,2767,94,3
0.5,1,0,1981,1,54,0,7.4,0.5,30.5,2767,94,3
1,1,0,1982,0,54,0,7.4,0.5,30.5,2767,94,3
10.5,1,0,1966,0,46,0,6.91,3.8,0.25,0.43,99,3
1,1,0,1985,0,53,0,6.91,3.8,0.25,0.43,99,3
3,1,0,1981,0,62,1,6.62,3.6,0.16,23,93,3
0.5,1,1,1979,1,54,1,5.44,0.6,6.4,1099,63,3
0.5,1,1,1979,1,53,1,5.44,0.6,6.4,1099,63,3
0.5,1,0,1979,0,58,1,5.44,0.6,6.4,1099,63,3
0.5,1,1,1981,1,48,1,5.44,0.6,6.4,1099,63,3
0.5,1,0,1961,0,44,1,6.63,5,135.6,8512,76,3
3,1,1,1964,1,64,1,6.63,5,135.6,8512,76,3
4,1,1,1969,1,64,1,6.63,5,135.6,8512,76,3
5,1,0,1974,1,66,1,6.63,5,135.6,8512,76,3
6,1,0,1964,0,53,0,6.58,-0.1,12.1,757,94,3
4,1,0,1962,1,62,1,6.09,3.2,28.4,1139,88,3
4,1,0,1966,0,58,1,6.09,3.2,28.4,1139,88,3
4,1,0,1970,0,57,1,6.09,3.2,28.4,1139,88,3
4,1,0,1974,0,60,1,6.09,3.2,28.4,1139,88,3
4,1,0,1978,0,62,1,6.09,3.2,28.4,1139,88,3
4,1,0,1962,0,55,0,6.57,2.1,2.6,51,93,3
4,1,0,1966,0,50,0,6.57,2.1,2.6,51,93,3
4,1,0,1974,0,53,0,6.57,2.1,2.6,51,93,3
4,1,0,1978,0,51,0,6.57,2.1,2.6,51,93,3
4,1,0,1982,0,56,0,6.57,2.1,2.6,51,93,3
0.5,1,0,1978,0,41,0,6.15,3.9,0.08,1,80,3
0.5,1,0,1979,0,36,0,6.15,3.9,0.08,1,80,3
1,1,1,1962,0,57,0,6.25,3.9,6.4,49,74,3
0.5,1,1,1965,1,32,0,6.25,3.9,6.4,49,74,3
0.5,1,0,1965,0,44,0,6.25,3.9,6.4,49,74,3
4,1,0,1982,0,56,0,6.25,3.9,6.4,49,74,3
0.5,1,1,1966,0,62,0,5.94,4.6,9.4,284,85,3
1,1,0,1966,0,45,0,5.94,4.6,9.4,284,85,3
2,1,1,1976,1,50,0,5.94,4.6,9.4,284,85,3
1,1,0,1978,1,,0,5.94,4.6,9.4,284,85,3
3,1,0,1981,0,41,0,5.94,4.6,9.4,284,85,3
0.5,1,1,1961,1,,1,5.86,-0.2,4.8,21,65,3
5,1,0,1962,1,40,1,5.86,-0.2,4.8,21,65,3
5,1,0,1967,1,50,1,5.86,-0.2,4.8,21,65,3
5,1,0,1972,1,45,1,5.86,-0.2,4.8,21,65,3
1,1,1,1980,0,55,1,5.86,-0.2,4.8,21,65,3
2,1,0,1982,0,56,1,5.86,-0.2,4.8,21,65,3
1,1,1,1983,0,44,0,6.04,0.9,0.1,0.34,85,3
3,1,1,1963,1,55,1,6.21,2.1,8,109,50,3
4,1,0,1966,1,51,1,6.21,2.1,8,109,50,3
4,1,0,1970,1,52,1,6.21,2.1,8,109,50,3
4,1,0,1974,1,44,1,6.21,2.1,8,109,50,3
4,1,0,1978,0,54,1,6.21,2.1,8,109,50,3
3,1,1,1983,1,53,1,6.21,2.1,8,109,50,3
3,1,1,1978,1,,1,5.77,0.6,4.4,112,56,3
4,1,0,1982,0,48,1,5.77,0.6,4.4,112,56,3
5,1,0,1962,0,78,0,6.9,-0.5,2.2,11,74,3
5,1,0,1967,0,44,0,6.9,-0.5,2.2,11,74,3
8,1,0,1972,0,48,0,6.9,-0.5,2.2,11,74,3
6,1,0,1964,0,53,0,6.79,3.2,78.8,1973,88,3
6,1,0,1970,0,48,0,6.79,3.2,78.8,1973,88,3
6,1,0,1976,0,52,0,6.79,3.2,78.8,1973,88,3
0.5,1,1,1968,0,,0,6.82,2.9,2.2,77,90,3
0.5,1,0,1968,0,63,0,6.82,2.9,2.2,77,90,3
0.5,1,1,1963,1,,1,6.43,0.1,18.6,1285,80,3
4,1,1,1975,1,54,1,6.43,0.1,18.6,1285,80,3
0.5,1,0,1979,0,53,0,6.35,3.1,0.14,0.62,78,3
2,1,0,1979,0,62,0,6.35,3.1,0.14,0.62,78,3
0.5,1,0,1981,0,55,0,6.35,3.1,0.14,0.62,78,3
0.5,1,0,1982,0,36,0,6.35,3.1,0.14,0.62,78,3
5,1,0,1979,0,64,0,5.86,1.8,0.12,0.39,82,3
1,1,1,1980,0,43,1,7.22,4.5,0.39,163,65,3
5,1,1,1981,0,49,1,6.88,3.4,1.2,5,98,3
1,1,0,1960,0,,0,6.86,2,3,176,94,3
1,1,0,1961,0,,0,6.86,2,3,176,94,3
1,1,0,1962,0,,0,6.86,2,3,176,94,3
1,1,0,1963,0,,0,6.86,2,3,176,94,3
0.5,1,0,1965,0,50,0,6.86,2,3,176,94,3
1,1,0,1965,0,,0,6.86,2,3,176,94,3
0.5,1,0,1966,0,50,0,6.86,2,3,176,94,3
0.5,1,0,1966,0,,0,6.86,2,3,176,94,3
0.5,1,0,1967,1,66,0,6.86,2,3,176,94,3
4,1,0,1967,0,47,0,6.86,2,3,176,94,3
3,1,1,1981,1,56,0,6.86,2,3,176,94,3
5,1,0,1964,0,58,0,7.4,1.5,17.3,912,86,3
5,1,0,1969,0,53,0,7.4,1.5,17.3,912,86,3
5,1,0,1974,0,52,0,7.4,1.5,17.3,912,86,3
5,1,0,1979,0,53,0,7.4,1.5,17.3,912,86,3
3,1,1,1975,0,53,1,5.8,-5.7,8,1247,20,1
13,1,0,1966,0,45,0,5.44,8.5,1.2,600,30,1
7,1,0,1960,0,58,0,7.18,3.2,1,267,65,1
14,1,0,1963,0,74,1,5.14,2.3,23,583,47,1
11,1,1,1975,1,42,1,5.14,0.1,15,801,14,1
3,1,0,1961,0,65,1,5.08,1.1,4,72,15,1
14,1,0,1968,0,69,1,5.8,2.6,0.7,17,65,1
12,1,1,1965,1,40,1,6.35,3.6,24,2381,52,0
3,1,1,1963,1,49,1,6.75,7.6,18,435,55,0
6,1,0,1963,0,68,1,8.01,2.9,4.3,20,80,0
4,1,0,1961,0,66,0,9.4,0.2,2,18,71,0
12,1,0,1965,0,51,0,9.4,0.2,2,18,71,0
7,1,0,1975,0,61,0,7.38,6.7,15,2149,52,0
2,1,0,1978,0,68,0,8.2,4.8,122,372,99,2
1,1,0,1964,0,60,1,4.79,1.5,816,3288,36,2
5,1,0,1970,0,48,1,6.35,4.5,16,330,65,2
17,1,0,1969,0,61,1,4.25,-6,65,330,78,2
9,1,0,1976,0,44,0,6.91,3.8,0.25,0.43,99,3
6,1,0,1979,1,60,1,6.63,5,135.6,8512,76,3
4,1,0,1978,0,67,0,6.25,3.9,6.4,49,74,3
2,1,0,1979,0,38,0,5.94,4.6,9.4,284,85,3
18,1,0,1966,0,43,1,6.02,0.5,0.79,215,85,3
0.5,1,0,1967,0,55,0,6.9,-0.5,2.2,11,74,3
3,1,1,1963,0,53,0,6.29,-1.8,3.3,130,88,3
12,1,1,1968,1,39,0,6.82,2.9,2.2,77,90,3
19,1,0,1962,0,50,1,6.88,3.4,1.2,5,98,3
0.5,1,0,1964,0,70,0,6.86,2,3,176,94,3
3,1,0,1960,0,44,1,4.7,1,4,112,11,1
1,1,0,1964,0,51,1,4.7,1,4,112,11,1
1,1,1,1965,1,56,1,4.7,1,4,112,11,1
0.5,1,1,1967,1,37,1,4.7,1,4,112,11,1
1,1,1,1968,0,50,1,4.7,1,4,112,11,1
3,1,0,1962,0,50,1,4.38,2.1,5.2,28,30,1
0.5,1,1,1966,0,19,1,4.38,2.1,5.2,28,30,1
9,1,1,1966,1,26,1,4.38,2.1,5.2,28,30,1
10.5,1,1,1976,1,30,1,4.38,2.1,5.2,28,30,1
5,1,0,1960,0,30,0,5.08,0.1,2.7,623,20,1
13,1,1,1965,1,44,0,5.08,0.1,2.7,623,20,1
15,1,0,1960,0,42,1,4.38,-5.8,5,1284,17,1
3,1,1,1975,1,43,1,4.38,-5.8,5,1284,17,1
3,1,0,1979,0,35,1,4.38,-5.8,5,1284,17,1
2,1,0,1972,0,53,0,5.19,-0.6,0.43,2.1,15,1
2,1,0,1976,0,38,0,5.19,-0.6,0.43,2.1,15,1
4,1,1,1963,0,42,1,5.83,3.5,2.1,342,80,1
8,1,1,1968,1,30,1,5.83,3.5,2.1,342,80,1
1,1,1,1977,1,38,1,5.83,3.5,2.1,342,80,1
10.5,1,1,1968,0,44,1,5.8,-1.3,0.35,28,55,1
2,1,1,1974,1,53,1,4.5,0.5,48,1221,35,1
3,1,1,1966,1,51,1,5.7,-2.1,14,238,30,1
2,1,0,1969,0,56,1,5.7,-2.1,14,238,30,1
1,1,0,1970,0,64,1,5.7,-2.1,14,238,30,1
6,1,1,1972,1,41,1,5.7,-2.1,14,238,30,1
0.5,1,1,1978,1,41,1,5.7,-2.1,14,238,30,1
2,1,0,1979,0,45,1,5.7,-2.1,14,238,30,1
0.5,1,0,1984,1,61,1,4.7,1.1,7,245,20,1
6,1,1,1974,0,43,1,4.94,2.4,1,36,9,1
19,1,0,1966,0,52,0,4.61,6.3,1.6,30,65,1
8,1,0,1971,0,58,1,5.74,0.8,2.5,111,20,1
11,1,0,1960,0,48,1,5.01,-1.2,11,587,53,1
2,1,0,1972,1,62,1,5.01,-1.2,11,587,53,1
8,1,0,1960,0,45,0,4.25,1.2,8.7,1240,10,1
17,1,0,1960,0,36,1,5.3,0.3,2,1030,17,1
0.5,1,1,1978,1,42,1,5.3,0.3,2,1030,17,1
0.5,1,1,1979,1,36,1,5.3,0.3,2,1030,17,1
4,1,1,1980,1,40,1,5.3,0.3,2,1030,17,1
13,1,0,1960,0,44,0,4.61,-1.2,7,1267,8,1
5,1,0,1960,0,48,1,5.35,3.2,112,923,30,1
0.5,1,1,1966,1,42,1,5.35,3.2,112,923,30,1
9,1,1,1966,1,32,1,5.35,3.2,112,923,30,1
0.5,1,1,1975,1,38,1,5.35,3.2,112,923,30,1
4,1,0,1979,0,54,1,5.35,3.2,112,923,30,1
1,1,1,1983,1,41,1,5.35,3.2,112,923,30,1
11,1,0,1962,0,38,1,4.25,2.3,7,26,37,1
0.5,1,0,1976,0,37,0,6.41,3.4,0.07,0.5,60,1
0.5,1,1,1967,1,45,1,5.08,1.1,4,72,15,1
1,1,1,1967,1,36,1,5.08,1.1,4,72,15,1
2,1,1,1961,0,37,1,5.8,2.6,0.7,17,65,1
2,1,0,1960,0,58,1,5.19,1.1,3.3,57,18,1
3,1,1,1963,0,50,1,5.19,1.1,3.3,57,18,1
8,1,0,1962,0,37,1,5.01,-4.4,16,236,52,1
8,1,1,1971,1,46,1,5.01,-4.4,16,236,52,1
0.5,1,1,1979,0,67,1,5.01,-4.4,16,236,52,1
0.5,1,0,1979,0,59,1,5.01,-4.4,16,236,52,1
0.5,1,1,1985,1,72,1,5.01,-4.4,16,236,52,1
5,1,0,1960,0,39,1,4.25,1.4,8.5,274,7,1
14,1,1,1966,1,50,1,4.25,1.4,8.5,274,7,1
1,1,1,1980,1,48,1,4.25,1.4,8.5,274,7,1
0.5,1,1,1982,1,44,1,4.25,1.4,8.5,274,7,1
4,1,1,1983,1,34,1,4.25,1.4,8.5,274,7,1
5,1,0,1960,0,43,1,4.25,-1.3,33,2345,40,1
1,1,0,1960,0,35,1,4.25,-1.3,33,2345,40,1
0.5,1,1,1960,0,42,1,4.25,-1.3,33,2345,40,1
2,1,1,1961,0,40,1,4.25,-1.3,33,2345,40,1
1,1,0,1960,0,35,1,4.25,-1.3,33,2345,40,1
1,1,1,1964,0,45,1,4.25,-1.3,33,2345,40,1
0.5,1,0,1965,0,39,1,4.25,-1.3,33,2345,40,1
0.5,1,0,1963,0,33,0,4.87,0.9,0.01,2.4,79,1
2,1,0,1962,0,43,1,6.35,3.6,24,2381,52,0
11,1,0,1970,1,52,1,5.52,4.2,53,1001,45,0
2,1,0,1966,0,50,1,6.75,7.6,18,435,55,0
0.5,1,0,1982,0,34,1,6.85,-6,2.7,10,75,0
1,1,0,1971,0,54,0,9.34,-7,0.3,11,40,0
11,1,0,1964,0,19,0,7.38,6.7,15,2149,52,0
16,1,1,1969,1,39,1,4.87,1.3,24,2506,20,0
0.5,1,1,1961,0,47,1,5.99,4.9,12,185,47,0
0.5,1,1,1961,1,,1,5.99,4.9,12,185,47,0
1,1,0,1961,0,55,1,5.99,4.9,12,185,47,0
0.5,1,1,1963,1,37,1,5.99,4.9,12,185,47,0
3,1,1,1963,1,52,1,5.99,4.9,12,185,47,0
4,1,0,1966,1,37,1,5.99,4.9,12,185,47,0
6,1,0,1965,0,41,0,6.4,3,54,781,70,0
1,1,0,1961,0,33,1,5.52,5.7,6.7,195,15,0
5,1,1,1962,1,45,1,5.52,5.7,6.7,195,15,0
7,1,0,1967,0,32,1,5.52,5.7,6.7,195,15,0
3,1,1,1974,1,29,1,5.52,5.7,6.7,195,15,0
1,1,0,1977,1,,1,5.52,5.7,6.7,195,15,0
2,1,0,1967,0,,0,5.63,6,2.4,333,25,0
7,1,0,1971,0,37,0,5.63,6,2.4,333,25,0
6,1,0,1980,0,41,0,5.63,6,2.4,333,25,0
10.5,1,1,1963,0,43,1,4.5,0.5,14,648,12,2
0.5,1,1,1978,0,61,1,4.5,0.5,14,648,12,2
0.5,1,0,1979,0,50,1,4.5,0.5,14,648,12,2
7,1,1,1979,0,50,1,4.5,0.5,14,648,12,2
3,1,0,1971,0,51,1,4.38,0.5,109,144,29,2
0.5,1,1,1975,0,56,1,4.38,0.5,109,144,29,2
0.5,1,1,1975,1,,1,4.38,0.5,109,144,29,2
2,1,1,1975,0,59,1,4.38,0.5,109,144,29,2
3,1,1,1978,1,42,1,4.38,0.5,109,144,29,2
0.5,1,0,1981,0,75,1,4.38,0.5,109,144,29,2
0.5,1,0,1987,0,52,1,6.48,3.4,0.74,18,80,2
0.5,1,0,1987,0,69,1,6.48,3.4,0.74,18,80,2
5,1,1,1970,1,57,0,4.25,-6.8,7,181,48,2
18,1,0,1961,0,60,1,5.99,6.7,43,98,95,2
13,1,1,1965,0,39,0,4.79,1.4,0.2,0.3,36,2
5,1,0,1971,0,43,1,4.79,2.5,107,803,26,2
1,1,1,1976,1,,1,5.6,4.3,54,514,82,2
2,1,1,1977,1,60,1,5.6,4.3,54,514,82,2
0.5,1,1,1963,1,47,1,5.08,-3,65,330,78,2
1,1,1,1964,1,37,1,5.08,-3,65,330,78,2
0.5,1,1,1965,0,62,1,5.08,-3,65,330,78,2
0.5,1,1,1965,1,38,1,5.08,-3,65,330,78,2
10.5,1,1,1965,1,42,1,5.08,-3,65,330,78,2
3,1,0,1963,0,63,0,7.4,0.5,30.5,2767,94,3
4,1,1,1966,1,52,0,7.4,0.5,30.5,2767,94,3
