sessionID,sid,grade,dept,level,sem,enroll,iid
session2067,S31719,2,H,300,FA2001,10,inst167
session2067,S32046,2.33,H,300,FA2001,10,inst167
session2147,S31590,,T,200,FA2001,10,inst349
session2066,S31998,4,D,300,FA2001,11,inst168
session2066,S31884,4,D,300,FA2001,11,inst168
session2146,S31782,4,T,100,FA2001,11,inst345
session2154,S31293,4,o,300,FA2001,11,inst390
session2116,S32142,3.67,q,200,FA2001,11,inst364
session2146,S31953,3.67,T,100,FA2001,11,inst345
session2154,S32292,3,o,300,FA2001,11,inst390
session2154,S32244,2.33,o,300,FA2001,11,inst390
session2283,S32241,4,N,200,FA2001,12,inst274
session2283,S32238,4,N,200,FA2001,12,inst274
session2052,S32094,4,p,100,FA2001,12,inst473
session1977,S32031,4,K,100,FA2001,12,inst240
session1977,S31749,4,K,100,FA2001,12,inst240
session2047,S31626,4,g,100,FA2001,12,inst436
session1977,S31470,4,K,100,FA2001,12,inst240
session2047,S32304,3.67,g,100,FA2001,12,inst436
session2256,S32160,3.67,L,100,FA2001,12,inst250
session1985,S31938,3.67,X,300,FA2001,12,inst387
session2052,S31725,3.67,p,100,FA2001,12,inst473
session1985,S31668,3.67,X,300,FA2001,12,inst387
session2052,S31578,3.67,p,100,FA2001,12,inst473
session1977,S31326,3.67,K,100,FA2001,12,inst240
session1985,S31248,3.67,X,300,FA2001,12,inst387
session1977,S32475,3,K,100,FA2001,12,inst240
session1977,S32409,3,K,100,FA2001,12,inst240
session2047,S32265,3,g,100,FA2001,12,inst436
session2047,S32265,3,g,100,FA2001,12,inst436
session1977,S31947,3,K,100,FA2001,12,inst240
session1977,S31785,3,K,100,FA2001,12,inst240
session2028,S31236,3,M,300,FA2001,12,inst272
session2028,S31212,3,M,300,FA2001,12,inst272
session2052,S32424,3.33,p,100,FA2001,12,inst473
session2052,S32250,3.33,p,100,FA2001,12,inst473
session2256,S31827,3.33,L,100,FA2001,12,inst250
session2028,S31575,3.33,M,300,FA2001,12,inst272
session1985,S31353,3.33,X,300,FA2001,12,inst387
session2028,S32193,2,M,300,FA2001,12,inst272
session1977,S31662,2,K,100,FA2001,12,inst240
session2026,S31350,2.33,M,100,FA2001,12,inst263
session2290,S32238,4,O,100,FA2001,13,inst286
session2129,S32013,4,q,100,FA2001,13,inst214
session2290,S31992,4,O,100,FA2001,13,inst286
session2078,S31983,4,S,100,FA2001,13,inst338
session2125,S31737,4,q,300,FA2001,13,inst357
session1954,S32421,3.67,Q,200,FA2001,13,inst328
session2051,S32313,3.67,p,100,FA2001,13,inst473
session2129,S32280,3.67,q,100,FA2001,13,inst214
session2298,S31866,3.67,O,100,FA2001,13,inst285
session1959,S31767,3.67,Q,300,FA2001,13,inst323
session1959,S31599,3.67,Q,300,FA2001,13,inst323
session2129,S31371,3.67,q,100,FA2001,13,inst214
session1954,S31272,3.67,Q,200,FA2001,13,inst328
session2129,S31239,3.67,q,100,FA2001,13,inst214
session2078,S31194,3.67,S,100,FA2001,13,inst338
session2290,S32112,3,O,100,FA2001,13,inst286
session1959,S32073,3,Q,300,FA2001,13,inst323
session2298,S31854,3,O,100,FA2001,13,inst285
session1954,S31845,3,Q,200,FA2001,13,inst328
session2051,S31350,3,p,100,FA2001,13,inst473
session2298,S31803,2.67,O,100,FA2001,13,inst285
session2125,S31290,2.67,q,300,FA2001,13,inst357
session2290,S32340,3.33,O,100,FA2001,13,inst286
session2051,S32301,3.33,p,100,FA2001,13,inst473
session1981,S32199,3.33,N,200,FA2001,13,inst275
session1955,S32139,3.33,Q,200,FA2001,13,inst328
session2051,S31878,3.33,p,100,FA2001,13,inst473
session1955,S31761,3.33,Q,200,FA2001,13,inst328
session1959,S31509,3.33,Q,300,FA2001,13,inst323
session2298,S32109,2.33,O,100,FA2001,13,inst285
session1955,S31713,,Q,200,FA2001,13,inst328
session2311,S32241,4,X,300,FA2001,14,inst391
session2120,S31605,4,q,300,FA2001,14,inst355
session2311,S31422,4,X,300,FA2001,14,inst391
session2311,S32421,3.67,X,300,FA2001,14,inst391
session2042,S32322,3.67,W,400,FA2001,14,inst372
session2120,S32268,3.67,q,300,FA2001,14,inst355
session2042,S32082,3.67,W,400,FA2001,14,inst372
session2311,S31497,3.67,X,300,FA2001,14,inst391
session2120,S32232,3,q,300,FA2001,14,inst355
session2340,S32217,3,F,100,FA2001,14,inst175
session2340,S31374,3,F,100,FA2001,14,inst175
session2120,S31278,3,q,300,FA2001,14,inst355
session2311,S31278,3,X,300,FA2001,14,inst391
session2120,S31374,2.67,q,300,FA2001,14,inst355
session2340,S31800,3.33,F,100,FA2001,14,inst175
session2140,S31806,4,J,100,FA2001,15,inst230
session2158,S31764,4,e,200,FA2001,15,inst429
session2140,S31695,4,J,100,FA2001,15,inst230
session2158,S31695,4,e,200,FA2001,15,inst429
session2137,S31680,4,J,100,FA2001,15,inst223
session2137,S31584,4,J,100,FA2001,15,inst223
session2254,S31557,4,L,100,FA2001,15,inst244
session2254,S31362,4,L,100,FA2001,15,inst244
session2254,S32448,3.67,L,100,FA2001,15,inst244
session2137,S32391,3.67,J,100,FA2001,15,inst223
session2073,S32322,3.67,i,200,FA2001,15,inst209
session2254,S31953,3.67,L,100,FA2001,15,inst244
session2085,S31950,3.67,Y,200,FA2001,15,inst394
session2085,S31887,3.67,Y,200,FA2001,15,inst394
session2107,S31788,3.67,n,100,FA2001,15,inst499
session2140,S31725,3.67,J,100,FA2001,15,inst230
session2094,S31257,3.67,N,200,FA2001,15,inst278
session2139,S32001,3,J,100,FA2001,15,inst230
session2140,S31815,3,J,100,FA2001,15,inst230
session2040,S31596,3,W,300,FA2001,15,inst381
session2140,S31407,3,J,100,FA2001,15,inst230
session2141,S31464,2.67,J,100,FA2001,15,inst220
session2094,S32283,3.33,N,200,FA2001,15,inst278
session2139,S32028,3.33,J,100,FA2001,15,inst230
session2140,S31998,3.33,J,100,FA2001,15,inst230
session2107,S31992,3.33,n,100,FA2001,15,inst499
session2254,S31923,3.33,L,100,FA2001,15,inst244
session2107,S31596,3.33,n,100,FA2001,15,inst499
session2158,S31407,3.33,e,200,FA2001,15,inst429
session2140,S31380,3.33,J,100,FA2001,15,inst230
session2140,S31344,3.33,J,100,FA2001,15,inst230
session2107,S31335,3.33,n,100,FA2001,15,inst499
session2141,S31650,2.33,J,100,FA2001,15,inst220
session2029,S32472,4,R,100,FA2001,16,inst330
session2255,S32460,4,L,100,FA2001,16,inst247
session2338,S32403,4,F,100,FA2001,16,inst180
session1968,S32388,4,d,100,FA2001,16,inst412
session2021,S32382,4,M,100,FA2001,16,inst263
session2034,S32349,4,W,100,FA2001,16,inst374
session2044,S32328,4,m,100,FA2001,16,inst436
session2034,S32235,4,W,100,FA2001,16,inst374
session2294,S32217,4,O,100,FA2001,16,inst163
session2339,S32133,4,W,300,FA2001,16,inst369
session2088,S32118,4,i,100,FA2001,16,inst437
session2058,S32079,4,C,100,FA2001,16,inst143
session2058,S32070,4,C,100,FA2001,16,inst143
session2123,S32001,4,q,300,FA2001,16,inst358
session2031,S31995,4,W,100,FA2001,16,inst211
session2061,S31983,4,D,200,FA2001,16,inst158
session1951,S31965,4,Q,100,FA2001,16,inst323
session2031,S31965,4,W,100,FA2001,16,inst211
session2112,S31956,4,q,200,FA2001,16,inst357
session2096,S31947,4,j,100,FA2001,16,inst447
session2091,S31944,4,i,100,FA2001,16,inst400
session2044,S31905,4,m,100,FA2001,16,inst436
session2088,S31821,4,i,100,FA2001,16,inst437
session2096,S31785,4,j,100,FA2001,16,inst447
session2076,S31764,4,I,300,FA2001,16,inst128
session2294,S31728,4,O,100,FA2001,16,inst163
session2077,S31689,4,S,300,FA2001,16,inst341
session2339,S31677,4,W,300,FA2001,16,inst369
session2294,S31647,4,O,100,FA2001,16,inst163
session2029,S31632,4,R,100,FA2001,16,inst330
session2044,S31620,4,m,100,FA2001,16,inst436
session2255,S31581,4,L,100,FA2001,16,inst247
session1975,S31566,4,d,300,FA2001,16,inst243
session2076,S31539,4,I,300,FA2001,16,inst128
session2151,S31530,4,b,100,FA2001,16,inst402
session2029,S31497,4,R,100,FA2001,16,inst330
session2077,S31482,4,S,300,FA2001,16,inst341
session2339,S31479,4,W,300,FA2001,16,inst369
session2148,S31476,4,T,300,FA2001,16,inst347
session2044,S31458,4,m,100,FA2001,16,inst436
session2091,S31377,4,i,100,FA2001,16,inst400
session1970,S31359,4,d,100,FA2001,16,inst237
session2123,S31281,4,q,300,FA2001,16,inst358
session2151,S31272,4,b,100,FA2001,16,inst402
session2077,S31263,4,S,300,FA2001,16,inst341
session2257,S31254,4,L,100,FA2001,16,inst244
session2058,S32475,3.67,C,100,FA2001,16,inst143
session1950,S32469,3.67,Q,100,FA2001,16,inst323
session1968,S32436,3.67,d,100,FA2001,16,inst412
session2088,S32412,3.67,i,100,FA2001,16,inst437
session1958,S32394,3.67,Q,300,FA2001,16,inst324
session2034,S32388,3.67,W,100,FA2001,16,inst374
session2123,S32370,3.67,q,300,FA2001,16,inst358
session2100,S32358,3.67,k,100,FA2001,16,inst465
session2044,S32352,3.67,m,100,FA2001,16,inst436
session1968,S32289,3.67,d,100,FA2001,16,inst412
session2123,S32232,3.67,q,300,FA2001,16,inst358
session2345,S32217,3.67,J,100,FA2001,16,inst226
session2044,S32205,3.67,m,100,FA2001,16,inst436
session2123,S32190,3.67,q,300,FA2001,16,inst358
session2100,S32172,3.67,k,100,FA2001,16,inst465
session2294,S32139,3.67,O,100,FA2001,16,inst163
session2039,S32136,3.67,W,300,FA2001,16,inst373
session2058,S32106,3.67,C,100,FA2001,16,inst143
session2339,S32094,3.67,W,300,FA2001,16,inst369
session1975,S32067,3.67,d,300,FA2001,16,inst243
session2017,S32016,3.67,G,100,FA2001,16,inst188
session2021,S32010,3.67,M,100,FA2001,16,inst263
session2088,S32007,3.67,i,100,FA2001,16,inst437
session2058,S31977,3.67,C,100,FA2001,16,inst143
session2257,S31965,3.67,L,100,FA2001,16,inst244
session2076,S31962,3.67,I,300,FA2001,16,inst128
session2044,S31914,3.67,m,100,FA2001,16,inst436
session2091,S31881,3.67,i,100,FA2001,16,inst400
session2076,S31878,3.67,I,300,FA2001,16,inst128
session2100,S31875,3.67,k,100,FA2001,16,inst465
session2031,S31854,3.67,W,100,FA2001,16,inst211
session2338,S31812,3.67,F,100,FA2001,16,inst180
session2076,S31770,3.67,I,300,FA2001,16,inst128
session2029,S31755,3.67,R,100,FA2001,16,inst330
session2061,S31749,3.67,D,200,FA2001,16,inst158
session2148,S31716,3.67,T,300,FA2001,16,inst347
session2292,S31614,3.67,O,100,FA2001,16,inst292
session2100,S31590,3.67,k,100,FA2001,16,inst465
session2112,S31560,3.67,q,200,FA2001,16,inst357
session2034,S31521,3.67,W,100,FA2001,16,inst374
session2151,S31485,3.67,b,100,FA2001,16,inst402
session1951,S31428,3.67,Q,100,FA2001,16,inst323
session2100,S31425,3.67,k,100,FA2001,16,inst465
session1970,S31401,3.67,d,100,FA2001,16,inst237
session2039,S31383,3.67,W,300,FA2001,16,inst373
session2058,S31323,3.67,C,100,FA2001,16,inst143
session2088,S31314,3.67,i,100,FA2001,16,inst437
session2255,S31308,3.67,L,100,FA2001,16,inst247
session2294,S31305,3.67,O,100,FA2001,16,inst163
session2088,S31296,3.67,i,100,FA2001,16,inst437
session2257,S31221,3.67,L,100,FA2001,16,inst244
session2150,S31980,,b,100,FA2001,16,inst401
session1951,S32427,3,Q,100,FA2001,16,inst323
session2339,S32421,3,W,300,FA2001,16,inst369
session2029,S32409,3,R,100,FA2001,16,inst330
session1970,S32364,3,d,100,FA2001,16,inst237
session2021,S32355,3,M,100,FA2001,16,inst263
session2021,S32346,3,M,100,FA2001,16,inst263
session2338,S32343,3,F,100,FA2001,16,inst180
session1958,S32223,3,Q,300,FA2001,16,inst324
session1951,S32214,3,Q,100,FA2001,16,inst323
session1975,S32211,3,d,300,FA2001,16,inst243
session2338,S32157,3,F,100,FA2001,16,inst180
session2029,S32151,3,R,100,FA2001,16,inst330
session2017,S32046,3,G,100,FA2001,16,inst188
session1970,S32028,3,d,100,FA2001,16,inst237
session2077,S31986,3,S,300,FA2001,16,inst341
session2345,S31824,3,J,100,FA2001,16,inst226
session2151,S31797,3,b,100,FA2001,16,inst402
session2339,S31782,3,W,300,FA2001,16,inst369
session2294,S31779,3,O,100,FA2001,16,inst163
session2091,S31773,3,i,100,FA2001,16,inst400
session2077,S31722,3,S,300,FA2001,16,inst341
session2061,S31707,3,D,200,FA2001,16,inst158
session1970,S31692,3,d,100,FA2001,16,inst237
session2077,S31638,3,S,300,FA2001,16,inst341
session2091,S31605,3,i,100,FA2001,16,inst400
session1970,S31575,3,d,100,FA2001,16,inst237
session2039,S31569,3,W,300,FA2001,16,inst373
session2031,S31563,3,W,100,FA2001,16,inst211
session2039,S31527,3,W,300,FA2001,16,inst373
session2338,S31512,3,F,100,FA2001,16,inst180
session2148,S31500,3,T,300,FA2001,16,inst347
session1975,S31473,3,d,300,FA2001,16,inst243
session1983,S31371,3,N,300,FA2001,16,inst278
session2021,S31332,3,M,100,FA2001,16,inst263
session1958,S31329,3,Q,300,FA2001,16,inst324
session2061,S31326,3,D,200,FA2001,16,inst158
session2151,S31287,3,b,100,FA2001,16,inst402
session2338,S32451,2.67,F,100,FA2001,16,inst180
session2077,S32298,2.67,S,300,FA2001,16,inst341
session2017,S32265,2.67,G,100,FA2001,16,inst188
session2151,S32196,2.67,b,100,FA2001,16,inst402
session2338,S32154,2.67,F,100,FA2001,16,inst180
session2148,S32142,2.67,T,300,FA2001,16,inst347
session2077,S32109,2.67,S,300,FA2001,16,inst341
session2345,S32094,2.67,J,100,FA2001,16,inst226
session2021,S32088,2.67,M,100,FA2001,16,inst263
session2076,S31932,2.67,I,300,FA2001,16,inst128
session2148,S31869,2.67,T,300,FA2001,16,inst347
session2333,S31863,2.67,F,100,FA2001,16,inst176
session2096,S31851,2.67,j,100,FA2001,16,inst447
session2333,S31839,2.67,F,100,FA2001,16,inst176
session2148,S31662,2.67,T,300,FA2001,16,inst347
session2029,S31659,2.67,R,100,FA2001,16,inst330
session2029,S31587,2.67,R,100,FA2001,16,inst330
session2150,S31512,2.67,b,100,FA2001,16,inst401
session2345,S31380,2.67,J,100,FA2001,16,inst226
session2338,S31290,2.67,F,100,FA2001,16,inst180
session2070,S32481,3.33,H,100,FA2001,16,inst204
session2345,S32439,3.33,J,100,FA2001,16,inst226
session1968,S32433,3.33,d,100,FA2001,16,inst412
session1970,S32373,3.33,d,100,FA2001,16,inst237
session2096,S32322,3.33,j,100,FA2001,16,inst447
session1968,S32307,3.33,d,100,FA2001,16,inst412
session1950,S32295,3.33,Q,100,FA2001,16,inst323
session2257,S32277,3.33,L,100,FA2001,16,inst244
session2021,S32262,3.33,M,100,FA2001,16,inst263
session2077,S32229,3.33,S,300,FA2001,16,inst341
session2345,S32196,3.33,J,100,FA2001,16,inst226
session1970,S32193,3.33,d,100,FA2001,16,inst237
session1958,S32187,3.33,Q,300,FA2001,16,inst324
session2292,S32184,3.33,O,100,FA2001,16,inst292
session2017,S32100,3.33,G,100,FA2001,16,inst188
session2044,S32049,3.33,m,100,FA2001,16,inst436
session2255,S32043,3.33,L,100,FA2001,16,inst247
session2148,S32037,3.33,T,300,FA2001,16,inst347
session1950,S31989,3.33,Q,100,FA2001,16,inst323
session2151,S31950,3.33,b,100,FA2001,16,inst402
session1968,S31926,3.33,d,100,FA2001,16,inst412
session2333,S31848,3.33,F,100,FA2001,16,inst176
session1958,S31827,3.33,Q,300,FA2001,16,inst324
session2096,S31824,3.33,j,100,FA2001,16,inst447
session2292,S31800,3.33,O,100,FA2001,16,inst292
session2034,S31779,3.33,W,100,FA2001,16,inst374
session2294,S31776,3.33,O,100,FA2001,16,inst163
session2255,S31767,3.33,L,100,FA2001,16,inst247
session2077,S31758,3.33,S,300,FA2001,16,inst341
session2292,S31752,3.33,O,100,FA2001,16,inst292
session1958,S31701,3.33,Q,300,FA2001,16,inst324
session1958,S31686,3.33,Q,300,FA2001,16,inst324
session2339,S31680,3.33,W,300,FA2001,16,inst369
session2061,S31674,3.33,D,200,FA2001,16,inst158
session2077,S31671,3.33,S,300,FA2001,16,inst341
session2255,S31629,3.33,L,100,FA2001,16,inst247
session2148,S31560,3.33,T,300,FA2001,16,inst347
session2088,S31536,3.33,i,100,FA2001,16,inst437
session2039,S31440,3.33,W,300,FA2001,16,inst373
session2339,S31431,3.33,W,300,FA2001,16,inst369
session2100,S31419,3.33,k,100,FA2001,16,inst465
session2091,S31404,3.33,i,100,FA2001,16,inst400
session1968,S31365,3.33,d,100,FA2001,16,inst412
session2291,S31362,3.33,O,100,FA2001,16,inst288
session2123,S31239,3.33,q,300,FA2001,16,inst358
session1975,S31209,3.33,d,300,FA2001,16,inst243
session2017,S31203,3.33,G,100,FA2001,16,inst188
session2039,S32415,2,W,300,FA2001,16,inst373
session2021,S31917,2,M,100,FA2001,16,inst263
session2151,S31818,2,b,100,FA2001,16,inst402
session2333,S32478,2.33,F,100,FA2001,16,inst176
session2039,S32430,2.33,W,300,FA2001,16,inst373
session1950,S32112,2.33,Q,100,FA2001,16,inst323
session1970,S32034,2.33,d,100,FA2001,16,inst237
session2143,S31374,2.33,J,200,FA2001,16,inst223
session1958,S32442,,Q,300,FA2001,16,inst324
session1951,S31719,,Q,100,FA2001,16,inst323
session2145,S32262,4,T,100,FA2001,17,inst346
session1952,S32256,4,Q,100,FA2001,17,inst322
session2342,S32040,4,q,200,FA2001,17,inst523
session2145,S31716,4,T,100,FA2001,17,inst346
session2145,S31614,4,T,100,FA2001,17,inst346
session1952,S31611,4,Q,100,FA2001,17,inst322
session2109,S31269,4,n,300,FA2001,17,inst500
session2342,S31254,4,q,200,FA2001,17,inst523
session2297,S32166,3.67,O,100,FA2001,17,inst285
session2297,S32157,3.67,O,100,FA2001,17,inst285
session1952,S31944,3.67,Q,100,FA2001,17,inst322
session1952,S31704,3.67,Q,100,FA2001,17,inst322
session2145,S31683,3.67,T,100,FA2001,17,inst346
session1952,S32406,3,Q,100,FA2001,17,inst322
session2342,S31731,3,q,200,FA2001,17,inst523
session2063,S31353,3,D,200,FA2001,17,inst161
session2342,S32451,2.67,q,200,FA2001,17,inst523
session2063,S31503,2.67,D,200,FA2001,17,inst161
session2342,S32151,3.33,q,200,FA2001,17,inst523
session2138,S32148,3.33,J,100,FA2001,17,inst224
session2342,S31992,3.33,q,200,FA2001,17,inst523
session2138,S31845,3.33,J,100,FA2001,17,inst224
session2297,S31701,3.33,O,100,FA2001,17,inst285
session2297,S31581,3.33,O,100,FA2001,17,inst285
session1953,S31503,3.33,Q,200,FA2001,17,inst322
session2060,S31419,3.33,D,200,FA2001,17,inst166
session2297,S31308,3.33,O,100,FA2001,17,inst285
session2145,S31920,1.33,T,100,FA2001,17,inst346
session2145,S31512,0,T,100,FA2001,17,inst346
session1979,S32289,4,K,100,FA2001,18,inst236
session2144,S32274,4,T,100,FA2001,18,inst345
session2102,S31941,3.67,k,100,FA2001,18,inst440
session2102,S31803,3.67,k,100,FA2001,18,inst440
session2102,S31680,3.67,k,100,FA2001,18,inst440
session2124,S31467,3.67,q,300,FA2001,18,inst528
session2144,S31311,3.67,T,100,FA2001,18,inst345
session2144,S31197,3.67,T,100,FA2001,18,inst345
session1987,S32004,3,X,300,FA2001,18,inst387
session2102,S31203,3,k,100,FA2001,18,inst440
session2102,S31842,3.33,k,100,FA2001,18,inst440
session1987,S31788,3.33,X,300,FA2001,18,inst387
session2144,S31659,3.33,T,100,FA2001,18,inst345
session2037,S31602,3.33,W,200,FA2001,18,inst374
session2102,S31347,3.33,k,100,FA2001,18,inst440
session1987,S31269,3.33,X,300,FA2001,18,inst387
session2113,S32076,,q,200,FA2001,18,inst359
session2136,S32253,4,J,100,FA2001,19,inst221
session2136,S31668,4,J,100,FA2001,19,inst221
session2130,S31608,4,q,200,FA2001,19,inst359
session2136,S31989,3.67,J,100,FA2001,19,inst221
session2062,S31698,3,D,200,FA2001,19,inst159
session2062,S31566,3,D,200,FA2001,19,inst159
session2072,S32109,2.67,H,100,FA2001,19,inst204
session2104,S31905,3.33,k,100,FA2001,19,inst462
session2104,S31554,3.33,k,100,FA2001,19,inst462
session2072,S31293,3.33,H,100,FA2001,19,inst204
session2136,S31710,2.33,J,100,FA2001,19,inst221
session2062,S31221,,D,200,FA2001,19,inst159
session2111,S32400,4,q,100,FA2001,20,inst364
session2127,S32217,4,q,300,FA2001,20,inst526
session2127,S32133,4,q,300,FA2001,20,inst526
session2126,S31434,4,q,100,FA2001,20,inst523
session2127,S31368,4,q,300,FA2001,20,inst526
session2111,S31323,4,q,100,FA2001,20,inst364
session2111,S31203,4,q,100,FA2001,20,inst364
session2111,S32193,3.67,q,100,FA2001,20,inst364
session2127,S31914,3.67,q,300,FA2001,20,inst526
session2111,S31464,3.67,q,100,FA2001,20,inst364
session1973,S31320,3.67,d,200,FA2001,20,inst418
session2296,S31287,3.67,O,100,FA2001,20,inst291
session2259,S31686,3,L,300,FA2001,20,inst251
session2126,S31548,3,q,100,FA2001,20,inst523
session2126,S32385,2.67,q,100,FA2001,20,inst523
session2126,S32478,3.33,q,100,FA2001,20,inst523
session2296,S31500,3.33,O,100,FA2001,20,inst291
session2126,S31335,2,q,100,FA2001,20,inst523
session2126,S31665,2.33,q,100,FA2001,20,inst523
session2152,S32373,4,b,200,FA2001,21,inst401
session2097,S32349,4,j,100,FA2001,21,inst455
session2114,S32106,4,q,100,FA2001,21,inst359
session2115,S31836,4,q,100,FA2001,21,inst355
session2093,S31674,4,i,200,FA2001,21,inst437
session2114,S31395,4,q,100,FA2001,21,inst359
session2114,S31281,4,q,100,FA2001,21,inst359
session2024,S31260,4,M,100,FA2001,21,inst266
session2093,S32265,3.67,i,200,FA2001,21,inst437
session2093,S32139,3.67,i,200,FA2001,21,inst437
session2024,S31980,3.67,M,100,FA2001,21,inst266
session2121,S31881,3.67,q,100,FA2001,21,inst360
session2114,S31869,3.67,q,100,FA2001,21,inst359
session2114,S31821,3.67,q,100,FA2001,21,inst359
session2115,S31722,3.67,q,100,FA2001,21,inst355
session2115,S31674,3.67,q,100,FA2001,21,inst355
session2093,S31230,3.67,i,200,FA2001,21,inst437
session2024,S32034,3,M,100,FA2001,21,inst266
session2024,S31464,3,M,100,FA2001,21,inst266
session2025,S31320,3,M,100,FA2001,21,inst264
session2024,S31251,2.67,M,100,FA2001,21,inst266
session2093,S32370,3.33,i,200,FA2001,21,inst437
session2093,S32304,3.33,i,200,FA2001,21,inst437
session2115,S31740,3.33,q,100,FA2001,21,inst355
session2115,S31725,3.33,q,100,FA2001,21,inst355
session2115,S31662,3.33,q,100,FA2001,21,inst355
session2121,S31629,3.33,q,100,FA2001,21,inst360
session2114,S31350,,q,100,FA2001,21,inst359
session2083,S32472,4,Y,100,FA2001,22,inst393
session1976,S32388,4,K,100,FA2001,22,inst237
session2083,S32304,4,Y,100,FA2001,22,inst393
session2117,S32205,4,q,200,FA2001,22,inst357
session2090,S32016,4,i,100,FA2001,22,inst400
session2117,S31758,4,q,200,FA2001,22,inst357
session2083,S31749,4,Y,100,FA2001,22,inst393
session2117,S31458,4,q,200,FA2001,22,inst357
session2083,S31299,4,Y,100,FA2001,22,inst393
session2084,S31275,4,Y,100,FA2001,22,inst393
session1976,S31260,4,K,100,FA2001,22,inst237
session2084,S31245,4,Y,100,FA2001,22,inst393
session2134,S31227,4,F,100,FA2001,22,inst180
session2083,S32415,3.67,Y,100,FA2001,22,inst393
session2103,S32004,3.67,k,100,FA2001,22,inst440
session2090,S32148,3,i,100,FA2001,22,inst400
session2117,S31527,3,q,200,FA2001,22,inst357
session2090,S31398,3,i,100,FA2001,22,inst400
session2117,S31326,3,q,200,FA2001,22,inst357
session1976,S31320,2.67,K,100,FA2001,22,inst237
session1976,S32340,3.33,K,100,FA2001,22,inst237
session2083,S31251,3.33,Y,100,FA2001,22,inst393
session2059,S31194,3.33,C,300,FA2001,22,inst144
session1976,S32271,2,K,100,FA2001,22,inst237
session2117,S31644,2,q,200,FA2001,22,inst357
session2156,S31905,4,e,100,FA2001,23,inst426
session2156,S31626,4,e,100,FA2001,23,inst426
session2156,S31542,4,e,100,FA2001,23,inst426
session2035,S32481,3.67,W,100,FA2001,23,inst138
session2098,S32346,3.67,j,100,FA2001,23,inst455
session2101,S32121,3.67,k,100,FA2001,23,inst467
session2035,S32064,3.67,W,100,FA2001,23,inst138
session2032,S32004,3.67,W,100,FA2001,23,inst368
session2101,S31896,3.67,k,100,FA2001,23,inst467
session2119,S31890,3.67,q,200,FA2001,23,inst526
session2032,S31881,3.67,W,100,FA2001,23,inst368
