state,time,net,age,sex
VA,5794,5609,44,F
VA,5464,5116,27,F
MD,6776,6478,42,M
VA,4354,4326,41,M
MD,5190,5124,51,M
VA,5156,4784,39,F
VA,4669,4555,39,M
KS,6860,6470,51,F
MD,5355,5298,43,F
VA,6581,6249,38,F
VA,5585,5499,26,F
VA,7650,7170,31,F
MD,5387,5293,66,M
VA,5978,5978,29,M
VA,5445,5159,35,F
VA,5841,5644,37,F
VA,7240,7171,44,F
MD,5143,5079,32,F
MD,5803,5631,17,F
DC,4749,4749,27,M
VA,7619,7476,34,F
VA,5527,5204,29,M
DC,5260,5165,25,F
DC,6478,6095,20,F
VA,5503,5228,31,F
VA,4852,4567,29,M
IA,6278,5819,60,M
OH,5895,5895,36,F
DC,7082,6718,33,F
MD,5897,5754,31,M
DC,5794,5533,27,F
MD,6142,6006,47,M
VA,5139,5042,41,F
VA,4629,4608,48,M
MD,6835,6575,39,F
VA,6025,5848,44,M
DC,5616,5445,33,F
DC,5098,4877,29,M
VA,6623,6166,44,F
DC,5869,5524,34,F
VA,6530,6102,32,F
VA,7052,6777,43,F
VA,5550,5279,31,M
VA,4365,4335,33,M
MD,6294,5839,46,F
VA,5017,4653,41,M
VA,5717,5552,60,M
VA,7512,7139,35,F
VA,5958,5958,36,F
VA,7128,6866,27,F
VA,6281,5784,43,M
VA,6113,5862,28,F
VA,4332,4307,57,M
MD,6293,5839,45,F
VA,6725,6352,41,F
PA,7034,6782,60,M
DC,5081,4838,26,M
PA,6104,5923,33,M
MD,5739,5355,31,F
DC,7052,7052,29,F
VA,6147,5935,23,F
VA,5368,5273,24,F
DC,5821,5821,33,M
VA,6313,6148,36,F
WV,6646,6454,74,M
MD,8154,7662,49,M
VA,5644,5644,24,F
MA,4792,4764,23,F
VA,6263,5837,32,F
NM,5312,5238,39,F
MD,6775,6775,34,F
VA,6313,6054,57,M
DC,7455,7455,23,F
VA,7458,6977,24,F
VA,6516,6325,34,M
DC,5040,4671,28,F
NY,5516,5438,39,F
MD,7279,6982,64,M
MD,6122,5633,41,M
VA,5613,5322,43,M
MD,4571,4559,36,F
MD,5508,5176,45,M
VA,6698,6200,51,M
MD,5125,5125,60,M
MD,7029,6820,35,F
VA,4625,4604,43,M
MD,5617,5288,23,F
MD,4672,4672,42,M
VA,4829,4527,34,M
MD,5355,5003,49,M
VA,5780,5544,34,F
MD,6315,5802,35,F
MD,3766,3758,38,M
VA,4835,4403,34,M
WV,3970,3964,44,M
MD,7253,7011,43,F
DC,6416,5816,41,M
WV,7474,6980,60,M
MD,6406,6048,25,F
DC,6505,6176,29,F
VA,5082,5008,26,F
VA,5484,5372,59,M
PA,4369,4345,56,M
MD,4309,4262,35,M
NC,5996,5673,21,F
MD,5232,5066,41,M
VA,5317,5170,30,M
MD,4534,4520,49,M
NJ,6639,6361,54,F
MD,4230,4208,55,M
VA,6727,6473,41,F
DC,5961,5777,31,F
VA,6358,5925,40,F
MD,6901,6845,52,F
VA,4219,4179,37,M
MD,5944,5533,28,M
VA,5331,5121,27,F
VA,5742,5732,69,M
DC,4877,4826,26,F
VA,6423,6183,31,F
MD,5004,4913,37,M
PA,6214,5868,35,F
VA,6644,6313,27,F
MD,6080,5601,52,M
VA,7503,7082,59,M
MD,5525,4847,40,M
VA,6152,5781,36,F
MD,6084,6002,44,F
DC,5825,5825,37,M
VA,6029,5906,46,F
VA,5329,5119,48,F
DC,8148,7904,22,F
DC,6447,6040,30,F
Uhwiesen,7046,7046,44,M
VA,6606,6370,33,F
DC,5435,5351,25,F
VA,6684,6487,28,F
DC,6433,6311,29,M
Kenya,3091,3090,35,M
MD,6290,5945,30,F
MA,5893,5893,34,F
VA,6445,6287,51,F
VA,7187,6880,50,F
MD,7535,7220,49,F
PA,6446,6064,51,F
VA,4180,4147,40,M
VA,5736,5418,33,F
DC,6457,6180,25,F
VA,6029,5661,28,M
MD,6962,6725,54,M
VA,3910,3891,29,M
DC,4424,4323,34,M
VA,4366,4339,56,M
DC,6701,6205,23,F
MD,5589,5230,64,M
VA,6162,5828,32,F
MD,4562,4536,39,F
MD,5603,5169,38,F
VA,6050,5760,47,F
PA,5604,5504,38,F
VA,5773,5325,35,M
VA,5049,4849,26,F
DC,7404,6902,21,F
GA,5652,5346,43,F
MD,7881,7790,46,F
MD,6791,6566,41,F
VA,5907,5606,25,M
VA,5233,5194,28,M
WI,3917,3875,19,M
VA,6577,6143,50,M
VA,6712,6212,28,F
MD,5653,5232,25,M
VA,5159,5014,25,F
CA,5898,5635,38,F
NJ,4509,4460,57,M
VA,5895,5674,48,M
PA,5072,4895,38,M
DC,7244,6828,17,F
DC,5801,5634,29,F
DC,5980,5726,35,F
VA,7122,6802,35,M
MD,5810,5305,35,M
DC,4864,4764,31,M
VA,5931,5682,26,F
DC,6038,5633,29,F
VA,5022,4822,46,M
MD,5645,5437,30,M
VA,6494,6209,27,F
DC,6811,6342,20,F
TX,5917,5552,38,M
PA,7512,7131,43,F
MD,6756,6394,44,F
VA,5541,5358,53,M
DC,5456,5104,55,M
MD,6349,5944,33,M
VA,6614,6035,56,M
VA,4128,4089,36,M
DC,4435,4369,34,M
VA,7116,6674,30,F
PA,6174,5786,28,M
VA,5302,5060,35,F
DC,7693,7424,29,F
DC,4160,4157,51,M
DC,6081,5789,32,F
MD,4448,4429,39,F
MD,6063,5676,36,F
MD,6224,5970,39,M
VA,6513,6018,32,F
VA,5950,5655,28,M
MD,7012,7012,46,M
VA,6340,6078,45,F
VA,3945,3928,27,M
VA,4826,4770,38,M
MD,6440,6225,39,M
MD,4368,4368,22,F
MD,5638,5282,29,M
DC,6670,6321,37,F
VA,7314,7227,34,F
VA,5233,5054,41,F
VA,5890,5433,49,M
MD,7628,7184,56,M
VA,6199,5726,42,M
MD,5210,5126,21,F
VA,4563,4323,41,M
VA,4752,4717,33,F
NC,3999,3989,46,M
MD,6980,6980,50,F
DC,5388,4944,33,M
VA,5103,4857,37,M
VA,6675,6404,55,M
DC,6319,6056,27,F
CT,5017,4804,38,F
VA,6448,6207,27,F
VA,7087,6663,44,F
MD,5073,5048,58,M
MD,6564,6119,29,M
DC,4764,4642,28,F
MD,4476,4463,47,M
PA,4982,4982,51,M
VA,5468,5172,46,F
VA,5565,5274,38,M
VA,6599,6599,46,M
DC,5941,5718,32,F
VA,8663,8292,35,F
VA,4958,4692,43,M
MD,5793,5580,43,M
NY,7236,7016,33,M
DC,5238,4976,26,F
DC,8542,8426,20,F
VA,5516,5247,27,F
DC,4567,4365,29,M
MD,7837,7476,29,F
VA,6737,6385,28,F
DC,5645,5182,22,M
VA,6252,5975,29,F
VA,6126,5719,38,F
VA,8287,7885,38,F
VA,7086,6792,40,M
VA,6189,5785,25,F
DC,6586,6367,27,M
MD,6382,5947,23,F
DC,5161,4769,28,F
NJ,5605,5478,49,F
VA,6008,5848,29,F
PA,5616,5162,25,M
VA,4660,4418,31,M
VA,6480,6262,57,M
DC,5698,5572,37,F
NJ,5418,5418,37,F
VA,10228,10228,55,F
DC,4993,4858,34,F
MD,4875,4801,29,F
VA,5386,5316,22,F
VA,5723,5457,35,F
DC,5562,5286,26,F
VA,6201,6003,29,F
VA,6971,6486,32,F
VA,6331,5942,56,M
MD,3868,3863,26,M
MD,5696,5313,43,F
VA,6601,6403,23,F
MD,5197,4993,46,M
VA,5999,5713,22,F
NY,6120,5674,42,M
DC,6728,6250,35,F
DC,6733,6240,20,F
VA,5387,5315,43,F
DC,4512,4512,27,M
VA,7254,7028,42,F
VA,7456,7081,30,F
VA,3469,3459,32,M
VA,5871,5581,51,M
VA,4721,4681,57,M
VA,5537,5270,30,M
MD,4183,4171,39,M
MD,6206,6060,26,M
MD,3902,3880,25,M
NY,4140,4104,47,M
VA,4294,4291,55,M
VA,6778,6527,50,M
VA,4832,4628,26,M
VA,6532,6389,33,F
DC,6888,6659,27,F
VA,7810,7680,51,F
CT,4846,4846,29,F
