start,stop,censTVC,SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear,WifeEmployed
16,17,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
17,18,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
18,19,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
19,20,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
20,21,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
21,22,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
22,23,0,694,23,0,23,0,12,0,2,1,1,7,1,946,1
0,1,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
1,2,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
2,3,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
3,4,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
4,5,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
5,6,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
6,7,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
7,8,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
8,9,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
9,10,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
10,11,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
11,12,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
12,13,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
13,14,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
14,15,1,5292,15,1,30,1,11,1,3,0,0,6,0,205,0
0,1,1,6624,2,0,53,0,10,1,4,1,1,11,1,1145,1
1,2,0,6624,2,0,53,0,10,1,4,1,1,11,1,1145,1
0,1,1,2920,4,0,24,0,9,0,4,1,1,7,1,917,1
1,2,1,2920,4,0,24,0,9,0,4,1,1,7,1,917,1
2,3,1,2920,4,0,24,0,9,0,4,1,1,7,1,917,1
3,4,0,2920,4,0,24,0,9,0,4,1,1,7,1,917,1
0,1,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
1,2,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
2,3,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
3,4,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
4,5,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
5,6,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
6,7,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
7,8,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
8,9,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
9,10,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
10,11,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
11,12,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
12,13,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
13,14,1,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
14,15,0,2920,15,0,23,0,9,0,4,1,1,7,1,818,1
0,1,1,5069,4,0,30,1,10,1,4,0,0,12,0,288,0
1,2,1,5069,4,0,30,1,10,1,4,0,0,12,0,288,0
2,3,1,5069,4,0,30,1,10,1,4,0,0,12,0,288,0
3,4,0,5069,4,0,30,1,10,1,4,0,0,12,0,288,0
0,1,1,5069,3,0,29,1,10,1,4,0,0,13,0,801,0
1,2,1,5069,3,0,29,1,10,1,4,0,0,13,0,801,0
2,3,0,5069,3,0,29,1,10,1,4,0,0,13,0,801,0
0,1,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
1,2,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
2,3,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
3,4,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
4,5,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
5,6,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
6,7,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
7,8,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
8,9,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
9,10,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
10,11,1,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
11,12,0,6821,12,0,45,1,12,1,1,1,0,5,0,543,0
0,1,1,134,4,0,47,1,16,1,2,0,0,7,0,520,0
1,2,1,134,4,0,47,1,16,1,2,0,0,7,0,520,0
2,3,1,134,4,0,47,1,16,1,2,0,0,7,0,520,0
3,4,0,134,4,0,47,1,16,1,2,0,0,7,0,520,0
0,1,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
1,2,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
2,3,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
3,4,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
4,5,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
5,6,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
6,7,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
7,8,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
8,9,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
9,10,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
10,11,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
11,12,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
12,13,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
13,14,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
14,15,1,134,16,0,46,1,16,1,2,0,0,7,0,664,0
15,16,0,134,16,0,46,1,16,1,2,0,0,7,0,664,0
0,1,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
1,2,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
2,3,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
3,4,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
4,5,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
5,6,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
6,7,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
7,8,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
8,9,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
9,10,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
10,11,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
11,12,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
12,13,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
13,14,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
14,15,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
15,16,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
16,17,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
17,18,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
18,19,1,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
19,20,0,5565,20,0,30,0,13,1,4,1,1,4,0,534,1
0,1,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
1,2,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
2,3,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
3,4,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
4,5,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
5,6,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
6,7,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
7,8,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
8,9,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
9,10,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
10,11,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
11,12,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
12,13,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
13,14,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
14,15,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
15,16,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
16,17,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
17,18,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
18,19,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
19,20,1,980,21,0,33,1,10,0,2,1,0,5,1,702,0
20,21,0,980,21,0,33,1,10,0,2,1,0,5,1,702,0
0,1,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
1,2,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
2,3,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
3,4,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
4,5,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
5,6,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
6,7,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
7,8,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
8,9,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
9,10,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
10,11,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
11,12,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
12,13,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
13,14,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
14,15,1,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
15,16,0,2590,16,0,26,0,12,0,6,1,1,14,0,803,0
0,1,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
1,2,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
2,3,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
3,4,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
4,5,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
5,6,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
6,7,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
7,8,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
8,9,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
9,10,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
10,11,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
11,12,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
12,13,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
13,14,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
14,15,1,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
15,16,0,2590,16,0,25,0,12,0,6,1,1,7,0,799,0
0,1,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
1,2,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
2,3,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
3,4,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
4,5,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
5,6,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
6,7,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
7,8,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
8,9,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
9,10,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
10,11,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
11,12,1,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
12,13,0,5640,13,0,27,0,16,1,4,1,1,12,0,1455,1
0,1,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
1,2,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
2,3,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
3,4,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
4,5,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
5,6,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
6,7,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
7,8,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
8,9,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
9,10,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
10,11,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
11,12,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
12,13,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
13,14,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
14,15,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
15,16,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
16,17,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
17,18,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
18,19,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
19,20,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
20,21,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
21,22,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
22,23,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
23,24,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
24,25,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
25,26,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
26,27,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
27,28,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
28,29,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
29,30,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
30,31,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
31,32,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
32,33,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
33,34,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
34,35,1,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
35,36,0,5640,36,0,26,0,16,1,4,1,1,13,0,890,1
0,1,1,318,6,0,56,0,11,0,4,1,1,13,1,906,0
1,2,1,318,6,0,56,0,11,0,4,1,1,13,1,906,0
2,3,1,318,6,0,56,0,11,0,4,1,1,13,1,906,0
3,4,1,318,6,0,56,0,11,0,4,1,1,13,1,906,0
4,5,1,318,6,0,56,0,11,0,4,1,1,13,1,906,0
5,6,0,318,6,0,56,0,11,0,4,1,1,13,1,906,0
0,1,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
1,2,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
2,3,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
3,4,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
4,5,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
5,6,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
6,7,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
7,8,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
8,9,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
9,10,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
10,11,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
11,12,1,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
12,13,0,5052,13,0,28,1,11,1,4,0,0,12,0,650,0
0,1,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
1,2,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
2,3,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
3,4,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
4,5,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
5,6,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
6,7,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
7,8,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
8,9,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
9,10,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
10,11,1,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
11,12,0,5052,12,0,27,1,11,1,4,0,0,13,0,325,0
0,1,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
1,2,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
2,3,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
3,4,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
4,5,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
5,6,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
6,7,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
7,8,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
8,9,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
9,10,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
10,11,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
11,12,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
12,13,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
13,14,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
14,15,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
15,16,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
16,17,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
17,18,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
18,19,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
19,20,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
20,21,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
21,22,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
22,23,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
23,24,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
24,25,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
25,26,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
26,27,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
27,28,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
28,29,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
29,30,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
30,31,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
31,32,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
32,33,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
33,34,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
34,35,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
35,36,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
36,37,1,713,37,1,25,0,12,0,2,1,1,5,0,566,0
0,1,1,5437,4,0,56,0,11,0,4,1,1,9,1,1667,1
1,2,1,5437,4,0,56,0,11,0,4,1,1,9,1,1667,1
2,3,1,5437,4,0,56,0,11,0,4,1,1,9,1,1667,1
3,4,0,5437,4,0,56,0,11,0,4,1,1,9,1,1667,1
0,1,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
1,2,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
2,3,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
3,4,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
4,5,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
5,6,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
6,7,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
7,8,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
8,9,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
9,10,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
10,11,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
11,12,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
12,13,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
13,14,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
14,15,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
15,16,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
16,17,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
17,18,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
18,19,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
19,20,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
20,21,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
21,22,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
22,23,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
23,24,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
24,25,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
25,26,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
26,27,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
27,28,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
28,29,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
29,30,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
30,31,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
31,32,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
32,33,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
33,34,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
34,35,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
35,36,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
36,37,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
37,38,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
38,39,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
39,40,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
40,41,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
41,42,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
42,43,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
43,44,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
44,45,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
45,46,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
46,47,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
47,48,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
48,49,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
49,50,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
50,51,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
51,52,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
52,53,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
53,54,1,5317,98,1,48,0,11,1,4,0,1,7,0,417,0
