College,GradRate,SFRatio,AdmisRate,FacultyPhD,Type,Region,State,MathSAT,VerbalSAT,ACT
Colorado State University,59,19.2,67,87,Public,West,CO,545,479,25
University of Denver,67,15.9,67,84,Private,West,CO,540,470,24
University of Northern Colorado,40,21.5,73,75,Public,West,CO,480,440,22
Regis University,53,14.8,82,90,Private,West,CO,487,442,22
Fort Lewis College,46,19.1,82,89,Public,West,CO,,,
Adams State College,60,27.9,84,63,Public,West,CO,,,21
Metropolitan State College,25,21.1,85,75,Public,West,CO,448,407,20
University of Southern Colorado,36,19.4,88,63,Public,West,CO,480,428,20
Mesa State College,59,28.8,92,48,Public,West,CO,451,400,20
United States Coast Guard Academy,71,8.3,9,31,Public,NorthEast,CT,644,542,
Yale University,99,5.8,23,96,Private,NorthEast,CT,,,
Wesleyan University,92,12.1,41,90,Private,NorthEast,CT,660,620,29
Connecticut College,91,10.7,51,86,Private,NorthEast,CT,,,
Quinnipiac College,86,12,58,63,Private,NorthEast,CT,,,
Trinity College,91,10.4,59,91,Private,NorthEast,CT,,,
Central Connecticut State University,49,16.7,61,69,Public,NorthEast,CT,457,414,
Eastern Connecticut State University,50,16.9,69,71,Public,NorthEast,CT,444,411,
Southern Connecticut State University,45,15.8,69,62,Public,NorthEast,CT,430,400,
Fairfield University,94,15.1,70,86,Private,NorthEast,CT,560,498,25
University of Bridgeport,51,7.9,74,76,Private,NorthEast,CT,489,422,
University of Connecticut at Storrs,71,16,74,89,Public,NorthEast,CT,551,481,
University of Hartford,66,10.7,80,61,Private,NorthEast,CT,506,457,
Sacred Heart University,82,14.8,82,71,Private,NorthEast,CT,480,420,
Saint Joseph College,76,11.2,83,87,Private,NorthEast,CT,,,
University of New Haven,79,15.6,86,79,Private,NorthEast,CT,495,434,
Albertus Magnus College,63,11.5,96,90,Private,NorthEast,CT,460,430,23
Georgetown University,95,7.2,26,91,Private,South,DC,,,
Howard University,46,7.5,32,78,Private,South,DC,457,426,20
George Washington University,72,7.6,64,92,Private,South,DC,,,
Trinity College,96,8.3,77,89,Private,South,DC,470,480,22
Catholic University of America,75,9.3,84,90,Private,South,DC,,,
Delaware State College,26,13.7,71,60,Public,South,DE,,,
University of Delaware,75,18.3,73,82,Private,South,DE,,,
Goldey Beacom College,36,27.6,74,25,Private,South,DE,486,425,
Wesley College,84,14.4,82,52,Private,South,DE,413,387,
Wilmington College,56,12.5,100,46,Private,South,DE,,,
University of Central Florida,46,22.2,42,80,Public,South,FL,533,464,23
Flagler College,69,18.1,51,52,Private,South,FL,513,476,23
Webber College,90,15.1,51,53,Private,South,FL,370,437,20
University of South Florida,47,17,62,84,Public,South,FL,553,492,23
Florida International University,66,13.9,63,81,Public,South,FL,543,476,23
Rollins College,90,13.3,65,81,Private,South,FL,557,502,25
Florida Atlantic University,48,15.6,66,90,Public,South,FL,528,462,22
University of North Florida,47,17.8,70,82,Public,South,FL,533,484,22
Bethune Cookman College,58,13.8,70,48,Private,South,FL,408,367,16
Warner Southern College,42,14.4,70,53,Private,South,FL,403,359,17
University of Florida,66,13.4,71,88,Public,South,FL,,,
Lynn University,65,19,74,69,Private,South,FL,450,440,21
Florida State University,58,23.1,75,80,Public,South,FL,,,
Florida Memorial College,35,17.1,75,38,Private,South,FL,,,
Nova Southeastern University,23,20.4,75,90,Private,South,FL,477,428,
Florida Southern College,68,17.4,75,65,Private,South,FL,505,478,23
University of Miami,59,5.9,76,82,Private,South,FL,,,
Eckerd College,59,12.8,78,82,Private,South,FL,559,517,25
Stetson University,73,12.5,79,85,Private,South,FL,,,
Barry University,72,12.6,79,76,Private,South,FL,470,430,20
University of West Florida,53,23.4,81,83,Public,South,FL,496,452,22
Florida Institute of Technology,57,10.6,81,90,Private,South,FL,596,500,
Embry Riddle Aeronautical University,44,16.5,82,37,Private,South,FL,544,461,25
Morris Brown College,21,15.7,23,49,Private,South,GA,450,400,19
Spelman College,65,12.5,33,73,Private,South,GA,515,487,23
Morehouse College,83,17.8,45,71,Private,South,GA,538,488,24
Paine College,27,10.9,48,48,Private,South,GA,,,
Emory University,96,5,49,97,Private,South,GA,650,570,28
Clark Atlanta University,53,14.9,56,63,Private,South,GA,404,400,19
Georgia Institute of Technology,70,19.3,58,92,Public,South,GA,,,
Georgia State University,34,19,62,87,Public,South,GA,,,
Savannah Coll. of Art and Design,55,16.1,62,14,Private,South,GA,515,490,23
Georgia Southern University,46,19.7,65,60,Public,South,GA,445,399,
Berry College,63,16.3,66,80,Private,South,GA,,,
North Georgia College,53,17.5,67,60,Public,South,GA,,,
University of Georgia,63,14.7,70,88,Public,South,GA,571,515,
Fort Valley State College,39,13.9,71,59,Public,South,GA,,,
West Georgia College,40,19.2,71,59,Public,South,GA,456,412,
Mercer University,91,9.2,73,93,Private,South,GA,529,473,24
LaGrange College,75,12.5,73,77,Private,South,GA,449,405,
Brenau University,49,13.7,75,71,Private,South,GA,459,471,
Albany State College,62,17,75,65,Public,South,GA,,,
Kennesaw State College,21,19.8,76,62,Public,South,GA,474,435,
Southern College of Technology,36,17.3,77,52,Public,South,GA,512,428,22
Columbus College,32,16.5,78,61,Public,South,GA,470,420,
Covenant College,56,19,78,73,Private,South,GA,536,512,24
Augusta College,38,18.9,80,65,Public,South,GA,439,398,
Oglethorpe University,67,13.1,82,91,Private,South,GA,570,549,27
Shorter College,58,13.2,82,62,Private,South,GA,,,
Georgia Southwestern College,26,18.1,83,50,Public,South,GA,446,404,20
Agnes Scott College,59,7.7,84,92,Private,South,GA,,,
Armstrong State College,88,10.5,84,45,Public,South,GA,471,436,
Piedmont College,31,13.2,85,89,Private,South,GA,499,452,
Savannah State College,48,19,85,60,Public,South,GA,375,334,17
Brewton-Parker College,18,12.6,86,62,Private,South,GA,393,373,
Valdosta State University,45,20,88,67,Public,South,GA,442,399,21
Wesleyan College,52,7.6,94,68,Private,South,GA,492,521,23
Georgia College,52,21.4,96,70,Public,South,GA,428,383,19
University of Hawaii at Hilo,31,15.8,52,72,Public,West,HI,446,404,
University of Hawaii at Manoa,54,11.8,73,85,Public,West,HI,537,441,
Teikyo Westmar University,51,12,68,46,Private,Midwest,IA,,,19
Grinnell College,83,9.5,68,88,Private,Midwest,IA,642,602,29
Upper Iowa University,78,17.4,68,69,Private,Midwest,IA,,,22
Coe College,67,12.7,74,73,Private,Midwest,IA,560,500,25
Clarke College,74,11,74,67,Private,Midwest,IA,,,21
Teikyo Marycrest University,69,12.3,74,44,Private,Midwest,IA,,,20
Graceland College,47,23.6,75,51,Private,Midwest,IA,502,447,22
Loras College,70,14.2,78,61,Private,Midwest,IA,,,23
Saint Ambrose University,70,14.1,80,56,Private,Midwest,IA,,,22
Buena Vista College,78,8.8,80,62,Private,Midwest,IA,526,493,24
University of Northern Iowa,77,16.3,82,78,Public,Midwest,IA,,,23
Simpson College,70,15.8,86,66,Private,Midwest,IA,,,
Mount Mercy College,64,11.3,86,44,Private,Midwest,IA,,,
Cornell College,64,12.2,86,71,Private,Midwest,IA,560,510,25
Central College,67,13.5,87,76,Private,Midwest,IA,,,24
Wartburg College,67,12.4,87,66,Private,Midwest,IA,557,478,24
Mount Saint Clare College,21,13.6,87,32,Private,Midwest,IA,,,21
Iowa State University,65,19.2,88,81,Public,Midwest,IA,,,
Briar Cliff College,58,13.1,90,39,Private,Midwest,IA,410,385,22
Luther College,77,13.8,90,73,Private,Midwest,IA,590,520,25
William Penn College,40,13.3,90,35,Private,Midwest,IA,,,
Morningside College,56,13,91,48,Private,Midwest,IA,,,22
Drake University,77,15,92,88,Private,Midwest,IA,540,490,25
Dordt College,87,12.5,93,61,Private,Midwest,IA,,,23
Northwestern College,68,14.9,94,68,Private,Midwest,IA,,,22
Grand View College,32,12.6,96,32,Private,Midwest,IA,,,20
University of Dubuque,45,16.5,97,85,Private,Midwest,IA,480,430,22
Lewis-Clark State College,44,12.1,55,60,Public,West,ID,445,397,21
Albertson College,55,9.4,82,67,Private,West,ID,524,487,24
Idaho State University,33,16.5,82,67,Public,West,ID,,,21
Northwest Nazarene College,58,14.8,83,59,Private,West,ID,,,23
Boise State University,25,17,85,59,Public,West,ID,468,431,21
University of Idaho,45,13.5,89,82,Public,West,ID,517,463,23
Northwestern University,92,6.8,42,96,Private,Midwest,IL,670,600,29
Illinois Wesleyan University,83,12.9,44,77,Private,Midwest,IL,617,534,28
University of Chicago,90,5.3,47,99,Private,Midwest,IL,,,
Chicago State University,18,15.6,48,47,Public,Midwest,IL,,,18
McKendree College,52,17.7,55,70,Private,Midwest,IL,,,21
Trinity College,28,21.9,63,54,Private,Midwest,IL,,,
Wheaton College,85,12.7,64,81,Private,Midwest,IL,,,
Lake Forest College,77,10.7,65,91,Private,Midwest,IL,,,
Blackburn College,51,14.3,67,76,Private,Midwest,IL,,,21
Northern Illinois University,56,17.3,67,73,Public,Midwest,IL,,,22
National-Louis University,71,18.3,68,62,Private,Midwest,IL,,,17
University of Illinois at Chicago,34,10,68,82,Public,Midwest,IL,,,21
Quincy University,80,16.3,69,69,Private,Midwest,IL,528,496,23
Northeastern Illinois University,21,15.1,72,78,Public,Midwest,IL,,,17
College of Saint Francis,80,17.5,72,52,Private,Midwest,IL,,,
Judson College,56,10.6,73,34,Private,Midwest,IL,,,22
Barat College,71,9.7,74,57,Private,Midwest,IL,,,
DePaul University,63,16.1,74,69,Private,Midwest,IL,554,511,25
Rosary College,81,12.9,74,79,Private,Midwest,IL,,,
MacMurray College,59,10.8,75,49,Private,Midwest,IL,,,21
Greenville College,60,14.3,76,57,Private,Midwest,IL,,,22
Eastern Illinois University,76,16.2,76,62,Public,Midwest,IL,,,22
Concordia University,75,12.1,76,56,Private,Midwest,IL,,,23
Illinois State University,54,21,77,77,Public,Midwest,IL,,,22
Western Illinois University,55,17.2,77,77,Public,Midwest,IL,,,22
Illinois Institute of Technology,56,12.3,77,80,Private,Midwest,IL,603,499,25
North Park College,74,13.1,78,76,Private,Midwest,IL,526,466,22
University of Illinois - Urbana,81,17.4,78,87,Public,Midwest,IL,617,522,27
North Central College,76,16.4,78,73,Private,Midwest,IL,556,483,25
Eureka College,53,10.6,81,62,Private,Midwest,IL,,,22
Knox College,79,12.7,81,88,Private,Midwest,IL,570,530,25
Saint Xavier University,55,13.7,82,87,Private,Midwest,IL,,,20
Loyola University Chicago,65,6.2,83,94,Private,Midwest,IL,529,482,24
Monmouth College,56,11.6,84,91,Private,Midwest,IL,470,470,23
Southern Illinois University at Edwardsville,43,16.5,86,76,Public,Midwest,IL,,,21
Roosevelt University,77,12.2,87,75,Private,Midwest,IL,,,19
Millikin University,75,11.4,87,60,Private,Midwest,IL,541,511,24
Illinois College,52,15.6,88,75,Private,Midwest,IL,545,470,23
Augustana College,71,12.7,88,78,Private,Midwest,IL,,,25
Columbia College,41,13.4,89,18,Private,Midwest,IL,,,
Bradley University,85,14.4,91,75,Private,Midwest,IL,590,530,25
Lewis University,61,14.3,91,36,Private,Midwest,IL,,,20
Illinois Benedictine College,75,11.6,92,81,Private,Midwest,IL,,,23
Olivet Nazarene University,54,14.6,94,39,Private,Midwest,IL,,,
Kendall College,80,15.9,100,24,Private,Midwest,IL,420,450,18
University of Notre Dame,97,13.1,48,96,Private,Midwest,IN,650,570,
Rose-Hulman Institute of Technology,97,13.6,55,91,Private,Midwest,IN,670,540,30
Indiana Wesleyan University,34,39.8,58,49,Private,Midwest,IN,455,408,21
Taylor University,98,14.2,62,60,Private,Midwest,IN,579,513,25
Marian College,61,10.4,70,38,Private,Midwest,IN,455,412,
Earlham College,78,10.6,74,90,Private,Midwest,IN,570,550,25
Saint Joseph's College,67,14.8,74,55,Private,Midwest,IN,494,423,22
Anderson University,59,12.1,75,48,Private,Midwest,IN,462,423,21
University of Evansville,77,15.8,78,60,Private,Midwest,IN,538,498,
Saint Francis College,48,12.5,78,43,Private,Midwest,IN,450,410,21
Wabash College,72,9.9,78,78,Private,Midwest,IN,,,
Grace College and Seminary,64,15.3,78,53,Private,Midwest,IN,,,21
Franklin College,60,12.5,79,54,Private,Midwest,IN,532,481,22
Indiana Univ. Northwest,33,18.2,79,56,Public,Midwest,IN,,,
Indiana Univ.-Purdue Univ. at Indianapolis,25,10.4,79,69,Public,Midwest,IN,428,388,19
Indiana University at Bloomington,68,21.3,80,77,Public,Midwest,IN,530,466,24
Manchester College,64,11.8,80,63,Private,Midwest,IN,508,442,22
Saint Mary's College,98,9.9,83,74,Private,Midwest,IN,538,488,25
DePauw University,82,11.1,83,78,Private,Midwest,IN,,,
Hanover College,64,10.6,83,84,Private,Midwest,IN,541,486,24
Valparaiso University,95,14.2,83,87,Private,Midwest,IN,,,
Indiana Univ. at South Bend,33,14.4,83,69,Public,Midwest,IN,,,
Indiana State University,40,16.6,84,72,Public,Midwest,IN,434,391,20
Ball State University,51,17.7,85,69,Public,Midwest,IN,473,422,21
University of Indianapolis,69,11.1,86,55,Private,Midwest,IN,487,432,21
Purdue University at West Lafayette,67,18.2,86,86,Public,Midwest,IN,545,453,24
Butler University,83,10.9,86,77,Private,Midwest,IN,544,484,25
Saint Mary-of-the-Woods College,75,10.2,87,44,Private,Midwest,IN,422,392,20
Tri-State University,65,12.8,87,53,Private,Midwest,IN,502,409,21
University of Southern Indiana,38,22,90,56,Public,Midwest,IN,429,384,18
Goshen College,72,9.9,90,51,Private,Midwest,IN,519,487,
Indiana Univ.-Purdue Univ. at Fort Wayne,41,16,94,67,Public,Midwest,IN,,,
Oakland City College,62,11.5,94,41,Private,Midwest,IN,,,
Huntington College,47,11.8,96,76,Private,Midwest,IN,480,422,21
Indiana Univ. at Kokomo,23,14.7,98,60,Public,Midwest,IN,415,387,
Indiana Univ. Southeast,33,16.7,99,76,Public,Midwest,IN,,,
Indiana Univ. East,24,13.8,100,52,Public,Midwest,IN,,,
Ottawa University,46,14.5,64,47,Private,Midwest,KS,,,
University of Kansas,57,13.7,65,88,Public,Midwest,KS,,,23
Kansas State University,54,18.5,69,76,Public,Midwest,KS,,,
McPherson College,48,9.8,70,54,Private,Midwest,KS,,,22
Tabor College,53,10,71,55,Private,Midwest,KS,,,22
Southwestern College,52,11.8,73,56,Private,Midwest,KS,,,21
Friends University,49,25,77,55,Private,Midwest,KS,,,20
Wichita State University,32,20.4,77,82,Public,Midwest,KS,,,21
Sterling College,36,16.1,78,50,Private,Midwest,KS,441,402,22
Baker University,65,11,80,58,Private,Midwest,KS,,,23
Saint Mary College,53,8.2,84,50,Private,Midwest,KS,,,
Bethel College,56,8.8,91,61,Private,Midwest,KS,,,22
Pittsburg State University,58,23.2,93,52,Public,Midwest,KS,,,21
Bethany College,48,11.6,93,62,Private,Midwest,KS,,,23
Kansas Wesleyan University,68,12.4,98,63,Private,Midwest,KS,,,21
Washburn University,53,13.8,98,82,Public,Midwest,KS,,,
Benedictine College,58,14.1,98,64,Private,Midwest,KS,,,
MidAmerica Nazarene College,49,15.4,100,33,Private,Midwest,KS,,,22
Fort Hays State University,44,18.1,100,65,Public,Midwest,KS,,,
Emporia State University,50,19.3,100,72,Public,Midwest,KS,,,20
Berea College,57,13.2,33,77,Private,South,KY,514,465,22
Alice Lloyd College,31,19.4,52,56,Private,South,KY,,,
Kentucky State University,19,15,58,60,Public,South,KY,,,
University of Louisville,31,11.1,64,84,Public,South,KY,,,21
Campbellsville College,49,17.7,69,62,Private,South,KY,,,
Spalding University,89,10.6,71,50,Private,South,KY,,,20
University of Kentucky,52,12.2,73,95,Public,South,KY,,,25
Western Kentucky University,45,19.1,73,66,Public,South,KY,,,
Thomas More College,66,10.5,74,65,Private,South,KY,512,452,23
Cumberland College,63,13,79,42,Private,South,KY,470,420,21
Union College,64,14.1,79,60,Private,South,KY,440,390,20
Brescia College,56,10.1,85,49,Private,South,KY,,,
Kentucky Wesleyan College,62,11.3,85,57,Private,South,KY,450,410,22
Northern Kentucky University,52,17.7,86,66,Public,South,KY,,,
Murray State University,52,20.2,86,72,Public,South,KY,,,22
Bellarmine College,84,13.1,88,74,Private,South,KY,515,474,23
Centre College,74,11.4,88,95,Private,South,KY,575,534,27
Morehead State University,52,19.9,88,58,Public,South,KY,,,20
Eastern Kentucky University,39,19.8,94,82,Public,South,KY,,,19
Georgetown College,55,13.3,95,73,Private,South,KY,,,22
Transylvania University,70,12.1,96,81,Private,South,KY,564,532,26
Pikeville College,61,13.4,99,48,Private,South,KY,,,
Louisiana College,59,10.5,52,64,Private,South,LA,,,
Dillard University,61,14.1,69,52,Private,South,LA,,,20
Grambling State University,58,24.6,73,46,Public,South,LA,,,
Tulane University,74,9.1,73,98,Private,South,LA,,,
Louisiana State University at Baton Rouge,37,15.9,83,83,Public,South,LA,529,468,23
Centenary College of Louisiana,66,11.3,88,86,Private,South,LA,550,500,25
Our Lady of Holy Cross College,73,16.1,88,72,Private,South,LA,,,
University of New Orleans,19,17.9,89,75,Public,South,LA,500,447,21
Louisiana Tech University,45,20,89,66,Public,South,LA,,,22
Loyola University,53,11.7,90,77,Private,South,LA,540,510,25
Xavier University of Louisiana,49,14.4,91,67,Private,South,LA,469,438,21
Nicholls State University,36,21.8,94,65,Public,South,LA,,,19
Northeast Louisiana University,21,20.6,95,57,Public,South,LA,,,20
Louisiana State University at Shreveport,35,18.1,96,62,Public,South,LA,,,
McNeese State University,34,21.1,98,69,Public,South,LA,,,19
University of Southwestern Louisiana,30,22.7,99,63,Public,South,LA,,,19
Southern University and A & M College,33,15.9,99,50,Public,South,LA,,,17
Southeastern Louisiana University,29,24.3,100,61,Public,South,LA,,,19
Southern University at New Orleans,35,19.6,100,62,Public,South,LA,,,17
Northwestern State University of Louisiana,33,29.5,100,67,Public,South,LA,,,20
Harvard University,100,9.9,16,97,Private,NorthEast,MA,,,
Amherst College,100,8.4,23,93,Private,NorthEast,MA,685,639,25
Williams College,99,9,30,94,Private,NorthEast,MA,,,
Massachusetts Institute of Technology,94,10.1,33,99,Private,NorthEast,MA,742,639,31
Wellesley College,91,10.6,43,94,Private,NorthEast,MA,630,600,
Boston College,90,16.6,47,95,Private,NorthEast,MA,,,
Tufts University,92,10.3,47,99,Private,NorthEast,MA,,,
Smith College,90,10.3,55,85,Private,NorthEast,MA,,,
College of the Holy Cross,95,11.3,57,92,Private,NorthEast,MA,627,573,
Babson College,94,16.8,57,93,Private,NorthEast,MA,,,
Simon's Rock College of Bard,84,8.2,57,76,Private,NorthEast,MA,597,574,
Stonehill College,97,13,63,79,Private,NorthEast,MA,530,480,
North Adams State College,57,14.2,64,65,Public,NorthEast,MA,470,427,
Boston University,72,11.9,64,80,Private,NorthEast,MA,600,550,26
Brandeis University,84,9.8,66,90,Private,NorthEast,MA,,,
University of Massachusetts at Boston,41,14.5,67,86,Public,NorthEast,MA,468,427,
Bentley College,82,17.5,67,87,Private,NorthEast,MA,,,
Bridgewater State College,51,17.1,68,73,Public,NorthEast,MA,482,441,
Worcester State College,40,21,69,60,Public,NorthEast,MA,436,400,
Westfield State College,65,15.7,69,75,Public,NorthEast,MA,460,420,
Springfield College,76,12.8,71,55,Private,NorthEast,MA,480,420,
Clark University,79,10.5,71,94,Private,NorthEast,MA,,,
Northeastern University,46,12.9,71,73,Private,NorthEast,MA,531,467,23
Mount Holyoke College,84,9,73,79,Private,NorthEast,MA,571,549,27
Hampshire College,62,11.4,74,79,Private,NorthEast,MA,555,556,
Bradford College,46,10.2,75,57,Private,NorthEast,MA,,,
University of Massachusetts at Lowell,53,16.1,76,81,Public,NorthEast,MA,504,447,
Curry College,58,8.7,77,39,Private,NorthEast,MA,420,390,
Berklee College of Music,38,10.2,77,15,Private,NorthEast,MA,,,
American International College,69,14.7,77,78,Private,NorthEast,MA,,,
University of Massachusetts at Dartmouth,56,15,78,74,Public,NorthEast,MA,482,423,
Merrimack College,80,16.8,78,73,Private,NorthEast,MA,520,480,
Simmons College,79,8.9,78,74,Private,NorthEast,MA,480,460,24
Suffolk University,60,13.3,79,95,Private,NorthEast,MA,447,407,
Wheaton College,71,13.2,79,92,Private,NorthEast,MA,550,530,24
Eastern Nazarene College,70,17.3,79,58,Private,NorthEast,MA,512,468,
Assumption College,88,13.8,80,93,Private,NorthEast,MA,,,
Salem State College,45,21,80,55,Public,NorthEast,MA,416,386,
Anna Maria College,82,11.7,81,45,Private,NorthEast,MA,,,
Lesley College,58,27.8,81,71,Private,NorthEast,MA,435,411,
Worcester Polytechnic Institute,82,15.2,84,92,Private,NorthEast,MA,660,540,28
Gordon College,66,14.2,84,73,Private,NorthEast,MA,509,483,
Wheelock College,74,9.6,84,74,Private,NorthEast,MA,438,415,
Wentworth Institute of Technology,64,15.4,85,10,Private,NorthEast,MA,470,380,
Elms College,86,11.3,85,71,Private,NorthEast,MA,450,440,
Mount Ida College,77,13.5,85,32,Private,NorthEast,MA,,,
University of Massachusetts at Amherst,68,16.7,86,88,Public,NorthEast,MA,,,
Western New England College,59,15.4,89,74,Private,NorthEast,MA,447,390,
