Score,Position,Ethnicity,Sex,Language,Age,NumEvals,ClassSize,CourseLevel,Beauty,ProfOutfit,ProfPic
4,Teaching,NotMinority,Female,English,57,7,23,Upper,4.333,Other,Color
3.7,Teaching,NotMinority,Female,English,57,7,22,Upper,4.333,Other,Color
3.4,Teaching,NotMinority,Female,English,57,14,20,Upper,4.333,Other,Color
3.3,Teaching,NotMinority,Female,English,57,8,19,Upper,4.333,Other,Color
3.8,Teaching,NotMinority,Female,English,57,17,23,Upper,4.333,Other,Color
3.9,Teaching,NotMinority,Female,English,57,10,22,Upper,4.333,Other,Color
3.4,Teaching,NotMinority,Female,English,57,12,15,Upper,4.333,Other,Color
3.7,Teaching,NotMinority,Female,English,52,19,22,Upper,4.833,Other,Color
4.1,Teaching,NotMinority,Female,English,52,27,31,Upper,4.833,Other,Color
3.7,Teaching,NotMinority,Female,English,52,20,21,Upper,4.833,Other,Color
3.5,Teaching,NotMinority,Female,English,52,31,36,Upper,4.833,Other,Color
3.5,Teaching,NotMinority,Female,English,52,17,19,Upper,4.833,Other,Color
4.4,Teaching,NotMinority,Female,English,52,23,37,Upper,4.833,Other,Color
3.4,TenureTrack,Minority,Female,Other,29,19,26,Upper,2.833,Other,Color
4.3,Tenured,NotMinority,Male,English,62,30,39,Upper,3,Other,Color
3.7,Tenured,NotMinority,Male,English,62,94,184,Lower,3,Other,Color
4.7,Tenured,NotMinority,Male,English,62,46,50,Upper,3,Other,Color
3.9,Tenured,NotMinority,Male,English,62,80,157,Lower,3,Other,Color
3.6,Tenured,NotMinority,Male,English,62,61,164,Lower,3,Other,Color
4.5,Tenured,NotMinority,Male,English,64,15,24,Upper,4.167,Other,Color
4.5,Tenured,NotMinority,Male,English,64,51,68,Upper,4.167,Other,Color
4.8,Tenured,NotMinority,Male,English,64,22,47,Upper,4.167,Other,Color
4.8,Tenured,NotMinority,Male,English,64,10,14,Upper,4.167,Other,Color
4.7,Tenured,NotMinority,Male,English,64,11,15,Upper,4.167,Other,Color
4.5,Tenured,NotMinority,Male,English,64,15,24,Upper,4.167,Other,Color
4.3,Tenured,NotMinority,Male,English,64,21,39,Upper,4.167,Other,Color
4.8,TenureTrack,NotMinority,Female,English,34,20,26,Upper,7.833,Other,Color
4.1,TenureTrack,NotMinority,Female,English,34,33,40,Upper,7.833,Other,Color
4.4,Tenured,NotMinority,Male,English,58,84,159,Upper,3.833,Other,Color
4.3,Tenured,NotMinority,Male,English,58,71,151,Upper,3.833,Other,Color
3.6,Tenured,NotMinority,Male,English,58,36,47,Lower,3.833,Other,Color
4.5,Tenured,NotMinority,Male,English,58,73,122,Upper,3.833,Other,Color
4.3,Tenured,NotMinority,Male,English,58,31,45,Lower,3.833,Other,Color
4.4,Tenured,Minority,Male,Other,52,13,16,Upper,4.833,Formal,Color
4.7,Tenured,Minority,Male,Other,52,23,23,Upper,4.833,Formal,Color
4.8,Tenured,Minority,Male,Other,52,12,16,Upper,4.833,Formal,Color
3.5,Tenured,Minority,Male,Other,52,15,18,Upper,4.833,Formal,Color
3.8,Tenured,Minority,Male,Other,52,11,16,Upper,4.833,Formal,Color
3.6,Tenured,Minority,Male,Other,52,12,15,Upper,4.833,Formal,Color
4.2,Tenured,Minority,Male,Other,52,18,28,Upper,4.833,Formal,Color
3.6,Tenured,NotMinority,Male,English,73,12,17,Upper,3,Formal,Color
4.4,Tenured,NotMinority,Male,English,73,10,13,Upper,3,Formal,Color
3.7,Tenured,NotMinority,Male,English,73,16,21,Upper,3,Formal,Color
4.3,Tenured,NotMinority,Male,English,73,13,17,Upper,3,Formal,Color
4.6,Tenured,NotMinority,Male,English,70,47,134,Upper,3,Formal,Color
4.6,Tenured,NotMinority,Male,English,70,5,48,Upper,3,Formal,Color
4.1,Tenured,NotMinority,Male,English,70,34,64,Upper,3,Formal,Color
3.6,Tenured,NotMinority,Male,English,70,24,69,Upper,3,Formal,Color
2.3,TenureTrack,NotMinority,Female,English,41,10,12,Upper,5.167,Other,Color
4.3,Teaching,NotMinority,Male,English,63,28,43,Upper,4.333,Other,Color
4.4,Teaching,NotMinority,Male,English,63,11,14,Upper,4.333,Other,Color
3.6,Teaching,NotMinority,Male,English,63,10,15,Upper,4.333,Other,Color
4.4,Teaching,NotMinority,Male,English,63,14,18,Upper,4.333,Other,Color
3.9,Teaching,NotMinority,Male,English,63,12,16,Upper,4.333,Other,Color
3.8,Teaching,NotMinority,Male,English,63,8,10,Upper,4.333,Other,Color
3.4,Teaching,NotMinority,Male,English,63,23,47,Upper,4.333,Other,Color
4.9,Tenured,NotMinority,Male,English,47,10,15,Upper,2.667,Other,Color
4.1,Tenured,NotMinority,Male,English,47,10,14,Upper,2.667,Other,Color
3.2,Tenured,NotMinority,Male,English,47,10,12,Upper,2.667,Other,Color
4.2,Tenured,NotMinority,Male,English,39,86,246,Lower,5.5,Other,Color
3.9,Tenured,NotMinority,Male,English,39,154,316,Lower,5.5,Other,Color
4.9,Tenured,NotMinority,Male,English,39,12,15,Upper,5.5,Other,Color
4.7,Tenured,NotMinority,Male,English,39,14,15,Upper,5.5,Other,Color
4.4,Tenured,NotMinority,Male,English,39,27,29,Upper,5.5,Other,Color
4.2,TenureTrack,Minority,Female,English,47,21,21,Lower,4.333,Other,Color
4,TenureTrack,Minority,Female,English,47,8,8,Upper,4.333,Other,Color
4.4,TenureTrack,Minority,Female,English,47,16,16,Lower,4.333,Other,Color
3.9,TenureTrack,Minority,Female,English,47,24,26,Lower,4.333,Other,Color
4.4,TenureTrack,Minority,Female,English,47,7,10,Upper,4.333,Other,Color
3,TenureTrack,Minority,Female,English,47,25,26,Lower,4.333,Other,Color
3.5,TenureTrack,Minority,Female,English,47,24,26,Lower,4.333,Other,Color
2.8,TenureTrack,Minority,Female,English,47,24,26,Lower,4.333,Other,Color
4.6,TenureTrack,Minority,Female,English,47,20,21,Lower,4.333,Other,Color
4.3,TenureTrack,Minority,Female,English,47,12,12,Lower,4.333,Other,Color
3.4,TenureTrack,Minority,Female,English,47,25,27,Lower,4.333,Other,Color
3,TenureTrack,Minority,Female,English,47,26,27,Lower,4.333,Other,Color
4.2,TenureTrack,Minority,Female,English,47,24,25,Lower,4.333,Other,Color
4.3,Tenured,NotMinority,Male,English,54,15,15,Upper,2.333,Formal,Color
4.1,Tenured,NotMinority,Male,English,54,10,15,Upper,2.333,Formal,Color
4.6,Tenured,NotMinority,Male,English,54,16,17,Upper,2.333,Formal,Color
3.9,Tenured,Minority,Female,English,44,30,55,Upper,6.5,Other,Color
3.5,Tenured,Minority,Female,English,44,35,48,Upper,6.5,Other,Color
4,Tenured,Minority,Female,English,44,21,21,Upper,6.5,Other,Color
4,Tenured,Minority,Female,English,44,35,39,Upper,6.5,Other,Color
3.9,Tenured,Minority,Male,English,47,20,27,Upper,2.333,Other,Color
3.3,Tenured,Minority,Male,English,47,9,14,Upper,2.333,Other,Color
4,Tenured,Minority,Male,English,47,21,26,Upper,2.333,Other,Color
3.8,Tenured,Minority,Male,English,47,13,16,Upper,2.333,Other,Color
4.2,Tenured,Minority,Male,English,47,13,16,Upper,2.333,Other,Color
4,Tenured,Minority,Male,English,47,12,13,Upper,2.333,Other,Color
3.8,Tenured,Minority,Male,English,47,14,14,Upper,2.333,Other,Color
3.3,Tenured,Minority,Male,English,47,15,17,Upper,2.333,Other,Color
4.1,Tenured,NotMinority,Male,English,62,12,13,Upper,3,Formal,Color
4.7,Tenured,NotMinority,Male,English,62,13,15,Upper,3,Formal,Color
4.4,Tenured,NotMinority,Male,English,62,7,10,Upper,3,Formal,Color
4.8,Tenured,NotMinority,Male,English,60,25,34,Upper,3.667,Other,Color
4.8,Tenured,NotMinority,Male,English,60,12,16,Upper,3.667,Other,Color
4.6,Tenured,NotMinority,Male,English,60,11,14,Upper,3.667,Other,Color
4.6,Tenured,NotMinority,Male,English,60,8,12,Upper,3.667,Other,Color
4.8,Tenured,NotMinority,Male,English,60,24,39,Upper,3.667,Other,Color
4.4,Tenured,NotMinority,Male,English,60,15,35,Upper,3.667,Other,Color
4.7,Tenured,NotMinority,Male,English,60,31,45,Upper,3.667,Other,Color
4.7,Tenured,NotMinority,Male,English,60,36,45,Lower,3.667,Other,Color
3.3,TenureTrack,NotMinority,Male,English,37,15,17,Upper,6.167,Other,Color
4.4,TenureTrack,NotMinority,Male,English,42,13,14,Upper,4,Other,Color
4.3,TenureTrack,NotMinority,Male,English,42,14,14,Upper,4,Other,Color
4.9,TenureTrack,NotMinority,Male,English,42,13,14,Upper,4,Other,Color
4.4,TenureTrack,NotMinority,Male,English,42,12,12,Upper,4,Other,Color
4.7,TenureTrack,NotMinority,Male,English,42,13,15,Upper,4,Other,Color
4.3,Tenured,NotMinority,Male,English,35,42,51,Upper,4.833,Other,Color
4.8,Tenured,NotMinority,Male,English,35,21,23,Lower,4.833,Other,Color
4.5,Tenured,NotMinority,Male,English,35,49,57,Upper,4.833,Other,Color
4.7,Tenured,NotMinority,Male,English,35,44,50,Lower,4.833,Other,Color
3.3,Teaching,NotMinority,Female,English,39,22,24,Lower,8.167,Other,Color
4.7,Teaching,NotMinority,Female,English,39,18,23,Upper,8.167,Other,Color
4.6,Teaching,NotMinority,Female,English,39,20,23,Upper,8.167,Other,Color
3.6,Teaching,NotMinority,Female,English,39,27,28,Lower,8.167,Other,Color
4,Tenured,NotMinority,Male,English,49,28,45,Upper,6.5,Formal,Color
4.1,Tenured,NotMinority,Male,English,49,27,42,Upper,6.5,Formal,Color
4,Tenured,NotMinority,Male,English,49,49,57,Upper,6.5,Formal,Color
4.5,Tenured,NotMinority,Male,English,61,22,27,Lower,4.833,Formal,Color
4.6,Tenured,NotMinority,Male,English,61,31,38,Upper,4.833,Formal,Color
4.8,Tenured,NotMinority,Male,English,61,19,22,Lower,4.833,Formal,Color
4.6,Tenured,NotMinority,Male,English,61,27,43,Upper,4.833,Formal,Color
4.9,TenureTrack,NotMinority,Male,English,33,30,31,Upper,7,Formal,Color
3.1,TenureTrack,NotMinority,Male,English,33,12,13,Upper,7,Formal,Color
3.7,TenureTrack,NotMinority,Male,English,33,13,15,Upper,7,Formal,Color
3.7,Tenured,NotMinority,Female,English,58,26,34,Upper,4.667,Formal,BW
3.9,Tenured,NotMinority,Female,English,56,12,19,Upper,3.833,Formal,Color
3.9,Tenured,NotMinority,Female,English,56,16,20,Upper,3.833,Formal,Color
3.2,Tenured,NotMinority,Female,English,56,17,23,Upper,3.833,Formal,Color
4.4,Teaching,NotMinority,Female,English,50,22,27,Lower,3.167,Other,Color
4.2,Teaching,NotMinority,Female,English,50,24,32,Lower,3.167,Other,Color
4.7,Teaching,NotMinority,Female,English,50,14,21,Lower,3.167,Other,Color
3.9,Teaching,NotMinority,Female,English,50,23,24,Upper,3.167,Other,Color
3.6,Teaching,NotMinority,Female,English,50,19,21,Upper,3.167,Other,Color
3.4,Teaching,NotMinority,Female,English,50,18,28,Upper,3.167,Other,Color
4.4,Teaching,NotMinority,Female,English,50,23,29,Upper,3.167,Other,Color
4.4,Tenured,NotMinority,Male,English,52,57,67,Upper,3.167,Other,Color
4.1,Tenured,NotMinority,Male,English,52,81,89,Upper,3.167,Other,Color
3.6,Tenured,NotMinority,Male,English,52,74,82,Upper,3.167,Other,Color
3.5,Tenured,NotMinority,Male,English,52,102,122,Upper,3.167,Other,Color
4.1,Tenured,NotMinority,Male,English,52,94,131,Upper,3.167,Other,Color
3.8,Tenured,NotMinority,Male,English,52,89,114,Upper,3.167,Other,Color
4,Tenured,NotMinority,Male,English,52,133,149,Upper,3.167,Other,Color
4.8,Tenured,NotMinority,Male,English,52,22,23,Upper,3.167,Other,Color
4.2,Tenured,NotMinority,Male,English,52,78,98,Upper,3.167,Other,Color
4.6,Tenured,NotMinority,Male,English,52,22,27,Upper,3.167,Other,Color
4.3,Tenured,NotMinority,Male,English,52,27,30,Upper,3.167,Other,Color
4.8,Tenured,NotMinority,Male,English,52,27,30,Upper,3.167,Other,Color
3.8,Tenured,NotMinority,Male,English,52,60,69,Upper,3.167,Other,Color
4.5,TenureTrack,NotMinority,Female,English,33,10,15,Upper,5.833,Other,BW
4.9,TenureTrack,NotMinority,Female,English,33,10,10,Upper,5.833,Other,BW
4.9,TenureTrack,NotMinority,Female,English,33,10,11,Upper,5.833,Other,BW
4.8,TenureTrack,NotMinority,Female,English,33,10,14,Upper,5.833,Other,BW
4.7,TenureTrack,NotMinority,Female,English,33,7,11,Upper,5.833,Other,BW
4.6,TenureTrack,NotMinority,Female,English,33,14,14,Upper,5.833,Other,BW
4.3,Tenured,NotMinority,Male,English,57,69,77,Upper,5.667,Other,BW
4.4,Tenured,NotMinority,Male,English,57,36,41,Upper,5.667,Other,BW
4.5,Tenured,NotMinority,Male,English,57,72,88,Upper,5.667,Other,BW
4.2,Tenured,NotMinority,Male,English,57,63,78,Upper,5.667,Other,BW
4.8,Tenured,NotMinority,Female,English,38,46,65,Upper,6.5,Formal,BW
4.6,Tenured,NotMinority,Female,English,38,109,157,Lower,6.5,Formal,BW
4.9,Tenured,NotMinority,Female,English,38,54,68,Upper,6.5,Formal,BW
4.8,Tenured,NotMinority,Female,English,38,51,67,Upper,6.5,Formal,BW
4.8,Tenured,NotMinority,Female,English,38,61,80,Upper,6.5,Formal,BW
4.6,Tenured,NotMinority,Female,English,38,102,137,Lower,6.5,Formal,BW
4.7,Tenured,NotMinority,Female,English,38,58,69,Upper,6.5,Formal,BW
4.1,TenureTrack,NotMinority,Female,English,34,54,91,Lower,1.667,Other,Color
3.8,TenureTrack,NotMinority,Female,English,34,46,80,Lower,1.667,Other,Color
4,TenureTrack,NotMinority,Female,English,34,53,90,Lower,1.667,Other,Color
4.1,TenureTrack,NotMinority,Female,English,34,19,34,Upper,1.667,Other,Color
4,TenureTrack,NotMinority,Female,English,34,41,73,Upper,1.667,Other,Color
4.1,TenureTrack,NotMinority,Female,English,34,25,44,Upper,1.667,Other,Color
3.5,TenureTrack,NotMinority,Male,English,34,24,36,Upper,6.667,Other,Color
4.1,TenureTrack,NotMinority,Male,English,34,16,20,Upper,6.667,Other,Color
3.6,TenureTrack,NotMinority,Male,English,34,20,35,Lower,6.667,Other,Color
4,TenureTrack,NotMinority,Male,English,32,85,248,Lower,3.667,Formal,BW
3.9,TenureTrack,NotMinority,Male,English,32,69,168,Lower,3.667,Formal,BW
3.8,TenureTrack,NotMinority,Male,English,32,98,247,Lower,3.667,Formal,BW
4.4,TenureTrack,NotMinority,Male,English,32,20,22,Upper,3.833,Formal,BW
4.7,TenureTrack,NotMinority,Male,English,32,72,103,Upper,3.833,Formal,BW
3.8,Tenured,NotMinority,Female,English,42,44,62,Lower,6.167,Other,Color
4.1,Tenured,NotMinority,Female,English,42,51,82,Upper,6.167,Other,Color
4.1,Tenured,NotMinority,Female,English,43,35,51,Lower,3.333,Other,Color
4.7,Tenured,NotMinority,Female,English,43,18,35,Upper,3.333,Other,Color
4.3,Tenured,NotMinority,Female,English,43,26,34,Lower,3.333,Other,Color
4.4,Tenured,NotMinority,Female,English,43,28,37,Lower,3.333,Other,Color
4.5,Tenured,NotMinority,Female,English,43,13,14,Lower,3.333,Other,Color
3.1,Tenured,NotMinority,Female,English,43,174,266,Lower,3.333,Other,Color
3.7,Tenured,NotMinority,Female,English,43,171,254,Lower,3.333,Other,Color
4.5,Tenured,NotMinority,Female,English,43,10,13,Upper,3.333,Other,Color
3,Tenured,NotMinority,Female,English,43,166,282,Lower,3.333,Other,Color
4.6,Tenured,NotMinority,Female,English,43,17,17,Upper,3.333,Other,Color
3.7,TenureTrack,NotMinority,Male,Other,35,11,19,Upper,3.667,Other,BW
3.6,TenureTrack,NotMinority,Male,Other,35,22,42,Lower,3.667,Other,BW
3.2,Tenured,NotMinority,Female,English,62,22,27,Upper,3.5,Other,Color
3.3,Tenured,NotMinority,Female,English,62,9,16,Upper,3.5,Other,Color
2.9,Tenured,NotMinority,Female,English,62,14,19,Upper,3.5,Other,Color
4.2,Tenured,NotMinority,Male,English,42,45,86,Upper,2.667,Other,Color
4.5,Tenured,NotMinority,Male,English,39,22,29,Upper,5.667,Other,Color
3.8,Tenured,NotMinority,Female,English,52,64,88,Upper,6,Formal,BW
3.7,Tenured,NotMinority,Female,English,52,70,98,Upper,6,Formal,BW
3.7,Tenured,NotMinority,Female,English,52,31,44,Upper,6.5,Other,BW
4,Tenured,NotMinority,Female,English,52,49,65,Upper,6.5,Other,BW
3.7,Tenured,NotMinority,Female,English,52,32,63,Upper,6.5,Other,BW
4.5,Teaching,NotMinority,Female,English,52,59,75,Upper,2.333,Other,Color
3.8,Teaching,NotMinority,Female,English,52,35,43,Upper,2.333,Other,Color
3.9,Teaching,NotMinority,Female,English,52,59,80,Upper,2.333,Other,Color
4.6,Teaching,NotMinority,Female,English,52,45,52,Upper,2.333,Other,Color
4.5,Teaching,NotMinority,Female,English,52,34,48,Upper,2.333,Other,Color
4.2,Teaching,NotMinority,Female,English,52,50,66,Upper,2.333,Other,Color
4,Teaching,NotMinority,Female,English,52,67,100,Upper,2.333,Other,Color
3.8,Tenured,NotMinority,Male,English,64,9,11,Upper,2.333,Other,Color
3.5,Tenured,NotMinority,Male,English,64,8,16,Upper,2.333,Other,Color
2.7,Tenured,NotMinority,Male,English,64,18,22,Upper,2.333,Other,Color
4,Tenured,NotMinority,Male,English,64,5,11,Upper,2.333,Other,Color
4.6,Tenured,NotMinority,Male,English,64,5,10,Upper,2.333,Other,Color
3.9,Tenured,NotMinority,Male,English,64,16,16,Upper,2.333,Other,Color
4.5,Tenured,NotMinority,Male,English,50,15,16,Upper,7.167,Other,Color
3.7,Tenured,NotMinority,Male,English,50,9,10,Upper,7.167,Other,Color
2.4,Tenured,NotMinority,Male,English,60,23,32,Upper,1.667,Other,Color
3.1,Tenured,NotMinority,Male,English,60,7,10,Upper,1.667,Other,Color
2.5,Tenured,NotMinority,Male,English,60,10,16,Upper,1.667,Other,Color
3,Tenured,NotMinority,Female,English,51,47,67,Upper,5.167,Formal,Color
4.5,TenureTrack,NotMinority,Male,English,43,19,22,Lower,3.5,Other,Color
4.8,TenureTrack,NotMinority,Male,English,43,15,28,Lower,3.5,Other,Color
4.9,TenureTrack,NotMinority,Male,English,43,18,30,Lower,3.5,Other,Color
4.5,TenureTrack,NotMinority,Male,English,43,11,15,Lower,3.5,Other,Color
4.6,TenureTrack,NotMinority,Male,English,43,10,13,Lower,3.5,Other,Color
4.5,TenureTrack,NotMinority,Male,English,43,17,18,Lower,3.5,Other,Color
4.9,TenureTrack,NotMinority,Male,English,43,22,26,Lower,3.5,Other,Color
4.4,TenureTrack,NotMinority,Male,English,43,18,30,Lower,3.5,Other,Color
